episode,reward,mttd,mttr,fpr,csr,compromised
1,-124.77,8,26,0.0284,1,1
2,-828.88,6,200,0.0228,0,0
3,-101.72,7,200,0.0245,0,1
4,-164.33,10,35,0.0264,1,1
5,-61.49,11,20,0.0202,1,1
6,-117.34,25,26,0.0272,1,2
7,-162.08,7,37,0.0256,1,1
8,-13.02,4,4,0.0320,1,1
9,-924.96,7,200,0.0252,0,0
10,-36.14,9,13,0.0206,1,1
11,-292.82,7,200,0.0111,0,0
12,-22.91,200,200,0.0083,0,6
13,-29.17,6,72,0.0060,1,1
14,-89.31,7,200,0.0039,0,0
15,-13.11,10,35,0.0057,1,4
16,-7.90,22,26,0.0065,1,3
17,-7.88,14,26,0.0070,1,2
18,-26.73,27,67,0.0049,1,2
19,-111.04,7,183,0.0058,1,2
20,-8.77,8,53,0.0033,1,4
21,-15.70,22,66,0.0050,1,5
22,-51.15,11,117,0.0052,1,2
23,-28.31,7,52,0.0065,1,4
24,4.62,10,12,0.0031,1,1
25,-30.96,18,72,0.0053,1,4
26,-78.51,12,200,0.0036,0,1
27,-35.12,5,85,0.0048,1,2
28,-40.77,45,200,0.0032,0,3
29,-34.18,16,200,0.0069,0,7
30,-4.31,7,49,0.0018,1,3
31,-17.19,8,104,0.0029,1,3
32,-31.91,13,88,0.0052,1,2
33,-62.67,7,166,0.0039,1,1
34,-3.45,7,42,0.0038,1,4
35,-0.51,6,26,0.0043,1,5
36,-22.30,8,200,0.0051,0,9
37,-22.14,5,71,0.0032,1,3
38,-40.89,14,126,0.0043,1,1
39,-13.70,14,66,0.0045,1,4
40,-25.28,10,105,0.0039,1,2
41,-21.13,7,42,0.0071,1,2
42,-27.12,23,64,0.0058,1,2
43,-19.57,11,63,0.0042,1,4
44,-6.43,14,55,0.0037,1,2
45,-12.01,10,32,0.0090,1,3
46,-6.62,10,54,0.0028,1,1
47,-2.12,25,35,0.0023,1,1
48,-32.24,9,126,0.0035,1,1
49,-80.46,16,200,0.0042,0,0
50,-18.47,5,70,0.0037,1,4
51,-12.54,14,67,0.0035,1,2
52,-28.23,11,82,0.0046,1,4
53,-28.29,5,83,0.0040,1,2
54,-26.77,16,74,0.0041,1,4
55,-48.92,13,154,0.0042,1,3
56,-18.84,26,117,0.0022,1,5
57,-14.90,32,72,0.0032,1,2
58,-25.88,12,89,0.0033,1,2
59,-16.03,15,81,0.0029,1,5
60,-13.03,12,200,0.0030,0,9
61,-17.07,4,76,0.0023,1,3
62,-38.48,6,132,0.0028,1,3
63,-13.15,13,66,0.0035,1,1
64,-31.15,8,130,0.0029,1,2
65,-11.54,14,63,0.0023,1,2
66,-0.41,14,47,0.0018,1,2
67,0.56,9,68,0.0025,1,5
68,-19.68,26,83,0.0038,1,5
69,-8.69,16,70,0.0029,1,2
70,-8.48,24,51,0.0045,1,2
71,-50.23,5,200,0.0021,0,2
72,1.33,19,62,0.0010,1,2
73,-37.81,16,116,0.0035,1,1
74,-13.38,10,84,0.0024,1,2
75,-21.79,14,104,0.0032,1,5
76,-40.30,11,165,0.0028,1,2
77,-14.41,8,49,0.0047,1,2
78,-21.23,17,51,0.0065,1,3
79,-16.60,23,103,0.0015,1,3
80,-4.92,10,48,0.0028,1,4
81,-13.63,9,200,0.0016,0,4
82,-21.48,33,99,0.0030,1,1
83,-16.11,6,51,0.0050,1,4
84,-25.83,4,129,0.0022,1,3
85,-13.36,9,52,0.0037,1,3
86,3.56,14,17,0.0035,1,1
87,-61.97,7,164,0.0032,1,2
88,-18.84,18,101,0.0027,1,4
89,-10.60,8,81,0.0021,1,1
90,-69.17,4,165,0.0040,1,4
91,-9.48,7,85,0.0012,1,2
92,-7.07,14,54,0.0034,1,3
93,-12.59,11,88,0.0012,1,2
94,7.04,4,4,0.0029,1,1
95,-23.09,8,125,0.0023,1,6
96,-5.37,12,89,0.0018,1,6
97,-11.90,20,97,0.0018,1,2
98,-4.01,5,73,0.0018,1,5
99,0.31,9,32,0.0014,1,4
100,-11.50,18,72,0.0021,1,4
101,-41.90,34,200,0.0035,0,7
102,-38.41,6,141,0.0033,1,3
103,-0.03,29,50,0.0019,1,4
104,2.36,13,23,0.0022,1,2
105,-28.24,11,187,0.0017,1,2
106,-39.37,13,148,0.0032,1,4
107,-32.74,5,59,0.0069,1,4
108,-23.32,50,99,0.0035,1,3
109,-12.92,7,200,0.0013,0,7
110,-28.32,60,62,0.0065,1,1
111,-33.37,15,71,0.0051,1,2
112,-37.19,14,130,0.0026,1,2
113,-2.58,4,36,0.0027,1,3
114,-24.94,8,126,0.0024,1,3
115,-11.55,6,58,0.0028,1,5
116,-11.47,9,36,0.0053,1,3
117,-8.54,9,87,0.0007,1,4
118,-25.99,8,125,0.0029,1,2
119,-10.56,19,99,0.0021,1,2
120,-75.32,13,200,0.0030,0,2
121,-11.20,7,82,0.0029,1,4
122,-3.23,9,64,0.0011,1,3
123,-5.35,10,61,0.0017,1,3
124,-16.11,8,200,0.0057,0,7
125,-17.13,17,150,0.0019,1,4
126,-28.89,14,103,0.0041,1,3
127,0.59,25,25,0.0030,1,1
128,-25.17,20,144,0.0026,1,3
129,-16.91,12,121,0.0017,1,4
130,-34.37,19,120,0.0035,1,3
131,-6.14,28,65,0.0024,1,2
132,-26.25,6,64,0.0047,1,5
133,-9.65,6,79,0.0027,1,6
134,-45.01,4,110,0.0041,1,3
135,-21.39,15,198,0.0018,1,4
136,-43.39,13,145,0.0041,1,2
137,-87.18,29,77,0.0113,1,3
138,-36.85,11,200,0.0019,0,5
139,-34.55,9,100,0.0045,1,4
140,-50.75,6,156,0.0039,1,6
141,-29.84,6,178,0.0022,1,5
142,-24.15,7,53,0.0071,1,6
143,-94.75,19,171,0.0055,1,3
144,-36.36,12,155,0.0031,1,3
145,-97.58,25,192,0.0058,1,3
146,-16.18,18,168,0.0019,1,6
147,-53.97,13,114,0.0048,1,4
148,-42.36,13,67,0.0082,1,4
149,-37.21,5,177,0.0027,1,6
150,-41.78,19,112,0.0044,1,3
151,-91.00,8,195,0.0053,1,4
152,-31.70,9,80,0.0053,1,3
153,-113.52,19,200,0.0066,0,3
154,-64.60,13,160,0.0046,1,4
155,-106.32,12,173,0.0070,1,3
156,-69.03,21,200,0.0035,0,4
157,-61.11,14,127,0.0056,1,3
158,-54.81,22,96,0.0076,1,4
159,-42.01,10,200,0.0023,0,8
160,-95.57,20,174,0.0071,1,4
161,-20.50,7,75,0.0029,1,3
162,-196.63,21,194,0.0103,1,3
163,-87.44,8,139,0.0067,1,3
164,-45.82,7,103,0.0050,1,6
165,-166.15,5,200,0.0078,0,2
166,-54.64,10,200,0.0030,0,6
167,-43.85,12,172,0.0038,1,6
168,-85.39,4,113,0.0096,1,3
169,-84.22,12,149,0.0070,1,3
170,-170.66,15,200,0.0092,0,3
171,-72.25,8,162,0.0053,1,4
172,-29.28,5,71,0.0061,1,4
173,-169.64,38,200,0.0098,0,4
