episode,reward,mttd,mttr,fpr,csr,compromised
1,-11.46,200,200,0.0000,0,2
2,5.15,200,200,0.0000,0,3
3,-37.09,200,200,0.0000,0,5
4,-20.19,200,200,0.0000,0,3
5,1.57,200,200,0.0000,0,3
6,-18.14,200,200,0.0000,0,2
7,-11.77,200,200,0.0000,0,3
8,-16.88,200,200,0.0000,0,2
9,-0.55,200,200,0.0000,0,3
10,-17.74,200,200,0.0000,0,3
11,-49.09,200,200,0.0000,0,2
12,-12.15,200,200,0.0000,0,1
13,-21.22,200,200,0.0000,0,2
14,-50.05,200,200,0.0000,0,3
15,-22.82,200,200,0.0000,0,2
16,-33.64,200,200,0.0000,0,1
17,-24.04,200,200,0.0000,0,3
18,-15.87,200,200,0.0000,0,2
19,-4.22,200,200,0.0000,0,3
20,-10.39,200,200,0.0000,0,1
21,-5.37,200,200,0.0000,0,2
22,-19.60,200,200,0.0000,0,1
23,-22.84,200,200,0.0000,0,3
24,-29.96,200,200,0.0000,0,1
25,3.73,200,200,0.0000,0,3
26,-0.79,200,200,0.0000,0,4
27,-45.54,200,200,0.0000,0,2
28,-31.95,200,200,0.0000,0,2
29,-25.05,200,200,0.0000,0,3
30,-12.57,200,200,0.0000,0,3
31,-20.01,200,200,0.0000,0,1
32,-10.15,200,200,0.0000,0,3
33,-20.50,200,200,0.0000,0,2
34,-8.34,200,200,0.0000,0,2
35,-23.32,200,200,0.0000,0,2
36,-49.89,200,200,0.0000,0,1
37,-9.75,200,200,0.0000,0,3
38,-31.66,200,200,0.0000,0,3
39,-14.65,200,200,0.0000,0,2
40,5.07,200,200,0.0000,0,3
41,-31.56,200,200,0.0000,0,4
42,-6.69,200,200,0.0000,0,5
43,-6.92,200,200,0.0000,0,2
44,-10.71,200,200,0.0000,0,2
45,-8.44,200,200,0.0000,0,5
46,-26.22,200,200,0.0000,0,6
47,-9.46,200,200,0.0000,0,1
48,-24.45,200,200,0.0000,0,2
49,-21.19,200,200,0.0000,0,2
50,-19.29,200,200,0.0000,0,9
51,-18.11,200,200,0.0000,0,5
52,-11.82,200,200,0.0000,0,3
53,-20.32,200,200,0.0000,0,5
54,-5.19,200,200,0.0000,0,3
55,-5.08,200,200,0.0000,0,3
56,-39.32,200,200,0.0000,0,3
57,6.76,200,200,0.0000,0,3
58,-27.85,200,200,0.0000,0,1
59,7.49,200,200,0.0000,0,2
60,3.50,200,200,0.0000,0,3
61,-14.92,200,200,0.0000,0,7
62,-6.43,200,200,0.0000,0,3
63,-39.41,200,200,0.0000,0,2
64,-16.76,200,200,0.0000,0,8
65,-15.66,200,200,0.0000,0,4
66,-24.07,200,200,0.0000,0,4
67,-15.96,200,200,0.0000,0,2
68,-6.19,200,200,0.0000,0,5
69,-3.95,200,200,0.0000,0,3
70,-12.86,200,200,0.0000,0,2
71,-34.32,200,200,0.0000,0,5
72,-26.88,200,200,0.0000,0,4
73,-16.38,200,200,0.0000,0,1
74,-25.74,200,200,0.0000,0,3
75,-30.85,200,200,0.0000,0,2
76,-14.12,200,200,0.0000,0,6
77,-14.03,200,200,0.0000,0,2
78,-22.76,200,200,0.0000,0,5
79,-9.90,200,200,0.0000,0,2
80,-42.35,200,200,0.0000,0,3
81,0.82,200,200,0.0000,0,5
82,-25.39,200,200,0.0000,0,3
83,-3.36,200,200,0.0000,0,3
84,-66.93,200,200,0.0000,0,4
85,-8.80,200,200,0.0000,0,2
86,-43.76,200,200,0.0000,0,4
87,-29.73,200,200,0.0000,0,4
88,-67.03,200,200,0.0000,0,1
89,1.77,200,200,0.0000,0,3
90,-43.41,200,200,0.0000,0,3
91,-47.03,200,200,0.0000,0,4
92,-19.30,200,200,0.0000,0,3
93,-52.45,200,200,0.0000,0,4
94,-27.38,200,200,0.0000,0,2
95,-5.14,200,200,0.0000,0,5
96,-56.93,200,200,0.0000,0,5
97,-49.97,200,200,0.0000,0,7
98,-9.45,200,200,0.0000,0,3
99,-65.32,200,200,0.0000,0,4
100,-7.66,200,200,0.0000,0,2
101,-55.33,200,200,0.0000,0,2
102,-4.14,200,200,0.0000,0,4
103,-38.99,200,200,0.0000,0,2
104,-13.56,200,200,0.0000,0,3
105,-12.40,200,200,0.0000,0,9
106,-65.49,200,200,0.0000,0,4
107,-32.37,200,200,0.0000,0,3
108,-16.02,200,200,0.0000,0,4
109,-9.80,200,200,0.0000,0,7
110,-9.39,200,200,0.0000,0,3
111,-61.35,200,200,0.0000,0,9
112,-38.04,200,200,0.0000,0,4
113,-40.80,200,200,0.0000,0,4
114,-39.39,200,200,0.0000,0,3
115,-15.34,200,200,0.0000,0,3
116,-47.96,200,200,0.0000,0,5
117,-53.90,200,200,0.0000,0,6
118,-26.79,200,200,0.0000,0,6
119,-3.76,200,200,0.0000,0,3
120,-22.43,200,200,0.0000,0,5
121,-55.57,200,200,0.0000,0,4
