episode,reward,mttd,mttr,fpr,csr,compromised
1,-1952.58,5,200,0.0506,0,0
2,-2030.76,8,200,0.0525,0,0
3,-2016.33,5,200,0.0523,0,0
4,-1996.39,9,200,0.0517,0,0
5,-46.82,6,6,0.0475,1,1
6,-203.52,5,23,0.0475,1,1
7,-114.74,4,14,0.0472,1,1
8,-1903.96,7,200,0.0491,0,0
9,-148.59,8,15,0.0545,1,1
10,-143.29,7,14,0.0563,1,1
11,-1937.51,6,200,0.0504,0,0
12,-1930.61,10,200,0.0500,0,0
13,-122.14,14,14,0.0497,1,1
14,-2019.32,7,200,0.0520,0,0
15,-1959.95,10,200,0.0508,0,0
16,-2055.22,10,200,0.0529,0,0
17,-178.96,5,20,0.0496,1,1
18,-2093.19,8,200,0.0539,0,0
19,-1965.59,6,200,0.0510,0,0
20,-1968.58,8,200,0.0510,0,0
21,-1983.98,5,200,0.0512,0,0
22,-1980.60,9,200,0.0514,0,0
23,-340.66,4,35,0.0521,1,1
24,-328.19,6,31,0.0556,1,1
25,-1969.45,11,200,0.0510,0,0
26,-2000.29,16,200,0.0516,0,0
27,-1940.84,5,200,0.0498,0,0
28,-192.62,21,21,0.0498,1,1
29,-237.68,7,25,0.0513,1,1
30,-31.82,4,4,0.0539,1,1
31,-2063.93,10,200,0.0535,0,0
32,-97.59,5,11,0.0506,1,1
33,-1939.80,15,200,0.0500,0,0
34,-259.49,12,200,0.0587,0,3
35,-2033.11,10,200,0.0524,0,0
36,-189.98,8,200,0.0498,0,2
37,-2102.07,10,200,0.0542,0,0
38,-605.96,19,61,0.0524,1,1
39,-81.30,7,11,0.0437,1,1
40,-138.62,14,14,0.0544,1,1
41,-20.82,4,4,0.0401,1,1
42,-148.56,6,200,0.0484,0,3
43,-1898.81,7,200,0.0491,0,0
44,-128.00,10,12,0.0597,1,1
45,-1916.03,6,200,0.0494,0,0
46,-221.19,18,24,0.0490,1,1
47,-2097.23,5,200,0.0542,0,0
48,-224.26,6,23,0.0536,1,1
49,-2021.47,7,200,0.0523,0,0
50,-240.74,7,27,0.0488,1,1
51,-1979.59,4,200,0.0510,0,0
52,-468.45,10,48,0.0513,1,1
53,-1964.75,4,200,0.0507,0,0
54,-1941.69,4,200,0.0503,0,0
55,-200.70,8,19,0.0578,1,1
56,-38.82,5,5,0.0481,1,1
57,-2030.79,9,200,0.0524,0,0
58,-65.14,7,7,0.0558,1,1
59,-250.42,5,25,0.0537,1,1
60,-90.40,7,10,0.0527,1,1
61,-48.82,5,5,0.0591,1,1
62,-2088.06,16,200,0.0540,0,0
63,-1960.09,6,200,0.0504,0,0
64,-1994.39,5,200,0.0512,0,0
65,-1918.49,9,200,0.0501,0,0
66,-192.40,9,200,0.0557,0,2
67,-227.66,5,26,0.0476,1,1
68,-24.82,4,4,0.0438,1,1
69,-162.92,4,200,0.0507,0,3
70,-2126.52,7,200,0.0548,0,0
71,-234.64,4,25,0.0515,1,1
72,-2070.17,4,200,0.0533,0,0
73,-2009.72,11,200,0.0520,0,0
74,-176.80,8,20,0.0481,1,1
75,-1976.93,10,200,0.0512,0,0
76,-172.32,10,19,0.0493,1,1
77,-1979.93,8,200,0.0513,0,0
78,-1998.03,12,200,0.0517,0,0
79,-240.73,8,25,0.0521,1,1
80,-173.27,8,19,0.0506,1,1
81,-1981.86,8,200,0.0513,0,0
82,-106.13,7,11,0.0542,1,1
83,-114.90,8,12,0.0543,1,1
84,-207.60,7,23,0.0494,1,1
85,-1983.62,6,200,0.0511,0,0
86,-2060.63,10,200,0.0532,0,0
87,-2021.11,6,200,0.0521,0,0
88,-2113.76,10,200,0.0545,0,0
89,-1927.36,13,200,0.0500,0,0
90,-250.42,6,23,0.0578,1,1
91,-1980.39,12,200,0.0515,0,0
92,-237.96,11,26,0.0495,1,1
93,-2001.17,7,200,0.0518,0,0
94,-2003.17,5,200,0.0519,0,0
95,-2074.32,8,200,0.0536,0,0
96,-204.10,6,21,0.0518,1,1
97,-2014.36,7,200,0.0522,0,0
98,-1976.96,7,200,0.0511,0,0
99,-157.25,4,18,0.0487,1,1
100,-1936.03,7,200,0.0501,0,0
101,-313.08,4,33,0.0511,1,1
102,-1933.64,8,200,0.0500,0,0
103,-1977.19,7,200,0.0511,0,0
104,-178.84,9,19,0.0512,1,1
105,-443.95,8,44,0.0532,1,1
106,-2043.61,5,200,0.0529,0,0
107,-2157.84,8,200,0.0555,0,0
108,-139.50,9,14,0.0551,1,1
109,-39.82,5,5,0.0541,1,1
110,-2053.25,5,200,0.0532,0,0
111,-1995.80,5,200,0.0517,0,0
112,-181.03,11,200,0.0501,0,4
113,-1971.25,11,200,0.0511,0,0
114,-94.14,7,10,0.0536,1,1
115,-160.18,6,200,0.0518,0,5
116,-2076.16,7,200,0.0537,0,0
117,-2007.57,6,200,0.0518,0,0
118,-2057.34,7,200,0.0529,0,0
119,-2039.01,14,200,0.0527,0,0
120,-1977.79,9,200,0.0510,0,0
121,-2015.45,6,200,0.0520,0,0
122,-2014.05,9,200,0.0521,0,0
123,-1992.11,5,200,0.0517,0,0
124,-2032.47,8,200,0.0526,0,0
125,-173.29,8,200,0.0510,0,2
126,-1997.07,7,200,0.0516,0,0
127,-2070.63,5,200,0.0533,0,0
128,-254.84,8,29,0.0475,1,1
129,-332.47,7,33,0.0536,1,1
130,-148.71,7,18,0.0456,1,1
131,-2023.30,8,200,0.0527,0,0
132,-2049.61,10,200,0.0532,0,0
133,-2007.00,6,200,0.0518,0,0
134,-2052.96,9,200,0.0528,0,0
135,-296.18,10,32,0.0491,1,1
136,-329.79,11,33,0.0538,1,1
