episode,reward,mttd,mttr,fpr,csr,compromised
1,-100.77,200,200,0.0000,0,1
2,-585.83,200,200,0.0000,0,0
3,-173.73,200,200,0.0000,0,1
4,-80.39,200,200,0.0000,0,3
5,-98.69,200,200,0.0000,0,2
6,-119.67,200,200,0.0000,0,1
7,-72.52,200,200,0.0000,0,1
8,-629.75,200,200,0.0000,0,0
9,-194.63,200,200,0.0000,0,1
10,-612.99,200,200,0.0000,0,0
11,-589.08,200,200,0.0000,0,0
12,-561.51,200,200,0.0000,0,0
13,-150.24,200,200,0.0000,0,1
14,-631.29,200,200,0.0000,0,0
15,-210.88,200,200,0.0000,0,1
16,-621.70,200,200,0.0000,0,0
17,-111.29,200,200,0.0000,0,1
18,-80.07,200,200,0.0000,0,4
19,-94.83,200,200,0.0000,0,1
20,-197.03,200,200,0.0000,0,1
21,-55.38,200,200,0.0000,0,1
22,-586.04,200,200,0.0000,0,0
23,-34.82,200,200,0.0000,0,1
24,-125.08,200,200,0.0000,0,1
25,-15.96,200,200,0.0000,0,1
26,-145.54,200,200,0.0000,0,1
27,-158.50,200,200,0.0000,0,1
28,-556.64,200,200,0.0000,0,0
29,-648.67,200,200,0.0000,0,0
30,-554.16,200,200,0.0000,0,0
31,-82.19,200,200,0.0000,0,1
32,-81.76,200,200,0.0000,0,1
33,-124.77,200,200,0.0000,0,1
34,-244.49,200,200,0.0000,0,1
35,-550.10,200,200,0.0000,0,0
36,-255.08,200,200,0.0000,0,1
37,-569.97,200,200,0.0000,0,0
38,-102.11,200,200,0.0000,0,1
39,-570.16,200,200,0.0000,0,0
40,-62.95,200,200,0.0000,0,6
41,-1.04,200,200,0.0000,0,1
42,-60.44,200,200,0.0000,0,1
43,-93.17,200,200,0.0000,0,1
44,-651.83,200,200,0.0000,0,0
45,-51.19,200,200,0.0000,0,2
46,-197.37,200,200,0.0000,0,1
47,-54.68,200,200,0.0000,0,4
48,-70.33,200,200,0.0000,0,1
49,-99.30,200,200,0.0000,0,1
50,-616.45,200,200,0.0000,0,0
51,-52.28,200,200,0.0000,0,3
52,-89.89,200,200,0.0000,0,1
53,-107.20,200,200,0.0000,0,1
54,-540.15,200,200,0.0000,0,0
55,-583.92,200,200,0.0000,0,0
56,-621.29,200,200,0.0000,0,0
57,-47.72,200,200,0.0000,0,1
58,-608.02,200,200,0.0000,0,0
59,-651.16,200,200,0.0000,0,0
60,-86.57,200,200,0.0000,0,1
61,-591.82,200,200,0.0000,0,0
62,-622.88,200,200,0.0000,0,0
63,-127.23,200,200,0.0000,0,2
64,-590.85,200,200,0.0000,0,0
65,-619.32,200,200,0.0000,0,0
66,-185.87,200,200,0.0000,0,1
67,-63.54,200,200,0.0000,0,4
68,-43.96,200,200,0.0000,0,2
69,-67.80,200,200,0.0000,0,1
70,-684.11,200,200,0.0000,0,0
71,-110.52,200,200,0.0000,0,1
72,-550.40,200,200,0.0000,0,0
73,-59.37,200,200,0.0000,0,1
74,-106.29,200,200,0.0000,0,1
75,-38.43,200,200,0.0000,0,3
76,-657.27,200,200,0.0000,0,0
77,-227.53,200,200,0.0000,0,1
78,-46.81,200,200,0.0000,0,7
79,-80.74,200,200,0.0000,0,1
80,-612.37,200,200,0.0000,0,0
81,-102.90,200,200,0.0000,0,1
82,-98.94,200,200,0.0000,0,1
83,-290.04,200,200,0.0000,0,1
84,-585.92,200,200,0.0000,0,0
85,-592.17,200,200,0.0000,0,0
86,-214.94,200,200,0.0000,0,1
87,-560.09,200,200,0.0000,0,0
88,-111.58,200,200,0.0000,0,1
89,-186.69,200,200,0.0000,0,1
90,-563.55,200,200,0.0000,0,0
91,-42.45,200,200,0.0000,0,1
92,-556.23,200,200,0.0000,0,0
93,-35.19,200,200,0.0000,0,2
94,-160.52,200,200,0.0000,0,1
95,-536.48,200,200,0.0000,0,0
96,-143.72,200,200,0.0000,0,1
97,-54.50,200,200,0.0000,0,3
98,-53.33,200,200,0.0000,0,2
99,-31.70,200,200,0.0000,0,1
100,-685.97,200,200,0.0000,0,0
101,-83.75,200,200,0.0000,0,1
102,-203.68,200,200,0.0000,0,1
103,-223.26,200,200,0.0000,0,1
104,-42.03,200,200,0.0000,0,2
105,-627.29,200,200,0.0000,0,0
106,-90.27,200,200,0.0000,0,1
107,-614.59,200,200,0.0000,0,0
108,-59.31,200,200,0.0000,0,5
109,-106.13,200,200,0.0000,0,1
110,-97.09,200,200,0.0000,0,1
111,-580.25,200,200,0.0000,0,0
112,-87.63,200,200,0.0000,0,1
113,-101.36,200,200,0.0000,0,1
114,-578.57,200,200,0.0000,0,0
115,-633.95,200,200,0.0000,0,0
116,-127.41,200,200,0.0000,0,1
117,-80.05,200,200,0.0000,0,1
118,-584.45,200,200,0.0000,0,0
119,-70.27,200,200,0.0000,0,4
120,-144.92,200,200,0.0000,0,1
121,-689.98,200,200,0.0000,0,0
122,2.01,200,200,0.0000,0,1
123,-102.66,200,200,0.0000,0,1
124,-115.29,200,200,0.0000,0,1
125,-120.46,200,200,0.0000,0,1
126,-164.90,200,200,0.0000,0,1
127,-59.46,200,200,0.0000,0,1
128,-5.05,200,200,0.0000,0,1
129,-571.34,200,200,0.0000,0,0
130,-54.38,200,200,0.0000,0,3
131,-86.01,200,200,0.0000,0,1
132,-66.39,200,200,0.0000,0,5
133,-138.49,200,200,0.0000,0,2
134,-54.10,200,200,0.0000,0,1
135,-175.58,200,200,0.0000,0,1
136,-76.13,200,200,0.0000,0,1
137,-109.63,200,200,0.0000,0,1
138,-547.71,200,200,0.0000,0,0
