episode,reward,mttd,mttr,fpr,csr,compromised
1,-102.44,5,200,0.0311,0,4
2,-66.72,5,15,0.0280,1,1
3,-118.23,7,28,0.0284,1,1
4,-97.28,9,29,0.0233,1,1
5,-838.36,11,200,0.0262,0,0
6,-353.96,12,65,0.0320,1,1
7,-921.91,10,200,0.0279,0,0
8,-152.90,10,40,0.0249,1,1
9,-24.18,5,9,0.0231,1,3
10,-88.54,10,20,0.0336,1,1
11,-102.65,6,22,0.0303,1,1
12,-38.34,5,10,0.0316,1,1
13,-69.47,8,18,0.0274,1,4
14,-115.34,4,26,0.0310,1,1
15,-60.98,6,14,0.0301,1,1
16,-99.65,13,200,0.0274,0,6
17,-77.10,8,200,0.0219,0,2
18,-186.10,9,38,0.0285,1,1
19,-61.93,8,21,0.0226,1,2
20,-87.27,9,200,0.0305,0,5
21,-85.74,10,20,0.0258,1,1
22,-86.70,4,23,0.0248,1,1
23,-927.00,9,200,0.0278,0,0
24,-865.40,8,200,0.0259,0,0
25,-87.55,5,19,0.0291,1,3
26,-42.35,7,9,0.0369,1,3
27,-102.54,8,21,0.0320,1,1
28,-446.53,16,96,0.0287,1,1
29,-126.26,4,28,0.0301,1,1
30,-122.08,6,32,0.0254,1,1
31,-64.48,7,17,0.0268,1,1
32,-166.21,14,34,0.0306,1,3
33,-165.80,7,37,0.0313,1,1
34,-933.61,7,200,0.0283,0,0
35,-87.93,18,26,0.0266,1,1
36,-131.79,8,33,0.0282,1,3
37,-91.62,9,28,0.0214,1,1
38,-62.18,8,19,0.0254,1,3
39,-134.24,11,32,0.0277,1,1
40,-193.07,8,39,0.0298,1,1
41,-112.26,9,29,0.0277,1,1
42,-197.51,14,45,0.0307,1,2
43,-88.62,15,16,0.0332,1,1
44,-79.29,11,18,0.0282,1,1
45,-79.98,5,27,0.0204,1,1
46,-52.10,9,20,0.0211,1,1
47,-81.76,7,21,0.0267,1,1
48,-55.99,8,14,0.0300,1,1
49,-152.14,7,34,0.0292,1,1
50,-81.92,6,25,0.0243,1,1
51,-114.28,10,29,0.0259,1,2
52,-102.56,8,200,0.0285,0,3
53,-841.83,7,200,0.0265,0,0
54,-125.10,7,27,0.0287,1,1
55,-59.62,11,200,0.0242,0,3
56,-33.30,7,13,0.0240,1,3
57,-114.64,6,27,0.0291,1,3
58,-39.68,7,17,0.0220,1,1
59,-237.21,4,55,0.0281,1,1
60,-86.41,10,200,0.0247,0,2
61,-28.34,6,9,0.0272,1,1
62,-65.61,7,200,0.0190,0,3
63,-52.14,9,16,0.0272,1,2
64,-66.35,10,17,0.0260,1,3
65,-211.83,6,73,0.0207,1,1
66,-49.46,6,13,0.0278,1,1
67,-90.49,31,33,0.0206,1,2
68,-778.69,8,200,0.0248,0,0
69,-111.89,8,33,0.0243,1,1
70,-730.88,12,200,0.0239,0,0
71,-130.96,12,39,0.0250,1,1
72,-77.52,7,33,0.0202,1,1
73,-631.01,10,200,0.0223,0,0
74,-665.32,8,200,0.0227,0,0
75,-522.87,7,200,0.0197,0,0
76,-591.28,5,200,0.0202,0,0
77,-56.76,6,19,0.0196,1,1
78,-25.77,6,200,0.0129,0,7
79,-85.23,5,42,0.0190,1,2
80,-19.85,10,16,0.0130,1,3
81,-105.29,6,36,0.0205,1,1
82,-23.50,5,10,0.0230,1,4
83,-504.76,10,200,0.0190,0,0
84,-531.76,7,200,0.0189,0,0
85,-122.91,20,76,0.0156,1,1
86,-22.85,12,15,0.0217,1,2
87,-15.22,4,15,0.0133,1,3
88,-28.10,7,22,0.0197,1,1
89,-43.99,7,29,0.0162,1,1
90,-33.91,7,24,0.0147,1,1
91,-62.83,5,20,0.0251,1,1
92,-104.77,9,52,0.0163,1,1
93,-58.64,23,200,0.0129,0,3
94,-46.01,8,200,0.0245,0,5
95,-84.01,12,49,0.0159,1,2
96,-95.97,9,41,0.0195,1,1
97,-68.07,12,33,0.0197,1,2
98,3.18,4,4,0.0182,1,1
99,-403.88,17,200,0.0167,0,0
100,-51.64,15,39,0.0147,1,1
101,-404.10,11,200,0.0165,0,0
102,-63.79,15,43,0.0165,1,1
103,-50.01,17,37,0.0151,1,1
104,-139.70,10,80,0.0143,1,1
105,-7.82,6,6,0.0159,1,1
106,-146.26,20,78,0.0190,1,1
107,-393.77,12,200,0.0159,0,0
108,-48.84,5,26,0.0162,1,1
109,-107.15,4,52,0.0190,1,1
110,-116.22,5,56,0.0166,1,1
111,-41.23,9,31,0.0125,1,1
112,-397.39,4,200,0.0157,0,0
113,-64.62,14,28,0.0207,1,1
114,-367.39,19,200,0.0148,0,0
115,-98.54,10,41,0.0178,1,1
116,-56.56,12,31,0.0189,1,4
117,-82.63,4,44,0.0140,1,1
118,-33.10,10,16,0.0144,1,3
119,-154.60,26,105,0.0135,1,1
120,-21.85,10,18,0.0146,1,1
121,-61.09,4,45,0.0128,1,1
122,-40.08,8,18,0.0175,1,2
123,-41.89,12,35,0.0128,1,1
124,-51.60,19,21,0.0205,1,1
125,-58.37,17,49,0.0127,1,2
126,-33.50,5,26,0.0157,1,1
127,-95.12,38,51,0.0155,1,1
128,-415.94,15,200,0.0168,0,0
129,-33.74,16,16,0.0194,1,2
130,-172.02,9,90,0.0186,1,1
131,-30.99,9,15,0.0171,1,2
132,-34.50,11,22,0.0204,1,2
133,-24.32,16,31,0.0114,1,3
134,-311.47,14,200,0.0140,0,0
135,-34.32,12,200,0.0159,0,5
136,-71.40,14,59,0.0112,1,1
137,-75.68,19,52,0.0153,1,1
138,-104.89,19,48,0.0176,1,1
139,-85.51,10,33,0.0206,1,1
140,-22.74,8,29,0.0116,1,1
141,-55.92,5,200,0.0163,0,3
142,-104.07,8,70,0.0146,1,1
143,-32.08,7,26,0.0128,1,2
144,-156.41,9,83,0.0161,1,1
145,-107.81,12,69,0.0165,1,1
146,-9.30,11,17,0.0110,1,1
147,-45.24,15,200,0.0204,0,7
148,-69.82,15,29,0.0167,1,1
149,-34.25,9,28,0.0128,1,3
150,-140.14,4,80,0.0169,1,1
151,-57.30,10,46,0.0137,1,1
152,-40.75,5,28,0.0164,1,2
153,-63.99,15,33,0.0175,1,1
154,-338.26,8,200,0.0147,0,0
155,-42.04,13,200,0.0134,0,6
156,-14.60,8,10,0.0198,1,1
157,-33.00,9,35,0.0155,1,1
158,-29.93,11,22,0.0155,1,2
159,-32.87,9,25,0.0141,1,1
160,-359.56,7,200,0.0146,0,0
161,-21.74,16,19,0.0121,1,2
162,-39.48,13,200,0.0144,0,7
163,-82.24,7,56,0.0156,1,1
164,-349.70,9,200,0.0145,0,0
165,-34.55,18,200,0.0105,0,6
166,-65.16,16,61,0.0114,1,1
167,-397.89,16,200,0.0162,0,0
168,-6.02,8,15,0.0087,1,1
169,-16.53,9,17,0.0179,1,4
170,-81.13,8,47,0.0157,1,1
171,-63.56,6,35,0.0150,1,1
172,-37.16,17,27,0.0135,1,3
173,-55.70,5,31,0.0188,1,1
174,-32.80,11,35,0.0127,1,2
175,-27.97,12,26,0.0139,1,1
176,-57.61,7,31,0.0209,1,1
177,-139.73,10,76,0.0151,1,1
178,-418.94,11,200,0.0182,0,0
