Device: mps, Seed: 1024, Workers: 1
torch.compile: skipped (Python 3.9, needs 3.10+)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=1
============================================================
Episode    100 | Avg Reward:  -150.18 | MTTD:  19 | MTTR:  42 | FPR: 0.018 | CSR: 1 | 2.3 ep/s | ETA: 72m
Episode    200 | Avg Reward:  -125.59 | MTTD:  18 | MTTR: 200 | FPR: 0.016 | CSR: 0 | 2.6 ep/s | ETA: 64m
Episode    300 | Avg Reward:  -108.18 | MTTD:   6 | MTTR:  49 | FPR: 0.016 | CSR: 1 | 2.7 ep/s | ETA: 59m
Episode    400 | Avg Reward:  -126.32 | MTTD:   7 | MTTR: 200 | FPR: 0.013 | CSR: 0 | 2.5 ep/s | ETA: 63m
Episode    500 | Avg Reward:  -101.94 | MTTD:  13 | MTTR:  40 | FPR: 0.013 | CSR: 1 | 2.6 ep/s | ETA: 61m
Episode    600 | Avg Reward:  -100.06 | MTTD:  11 | MTTR:  75 | FPR: 0.016 | CSR: 1 | 2.6 ep/s | ETA: 60m
Episode    700 | Avg Reward:  -126.89 | MTTD:  10 | MTTR:  34 | FPR: 0.011 | CSR: 1 | 2.6 ep/s | ETA: 59m
Episode    800 | Avg Reward:  -109.20 | MTTD:   8 | MTTR:  45 | FPR: 0.016 | CSR: 1 | 2.6 ep/s | ETA: 59m
Episode    900 | Avg Reward:   -92.90 | MTTD:  11 | MTTR: 200 | FPR: 0.018 | CSR: 0 | 2.6 ep/s | ETA: 58m
Episode   1000 | Avg Reward:  -100.92 | MTTD:  10 | MTTR: 200 | FPR: 0.016 | CSR: 0 | 2.6 ep/s | ETA: 57m
Episode   1100 | Avg Reward:   -99.70 | MTTD:  10 | MTTR: 200 | FPR: 0.007 | CSR: 0 | 2.6 ep/s | ETA: 57m
Episode   1200 | Avg Reward:  -122.58 | MTTD:  17 | MTTR: 200 | FPR: 0.014 | CSR: 0 | 2.6 ep/s | ETA: 56m
Episode   1300 | Avg Reward:  -106.08 | MTTD:  11 | MTTR:  70 | FPR: 0.014 | CSR: 1 | 2.6 ep/s | ETA: 56m
Episode   1400 | Avg Reward:  -114.57 | MTTD:   5 | MTTR:  20 | FPR: 0.020 | CSR: 1 | 2.7 ep/s | ETA: 53m
Episode   1500 | Avg Reward:  -117.24 | MTTD:  25 | MTTR:  87 | FPR: 0.010 | CSR: 1 | 2.7 ep/s | ETA: 52m
Episode   1600 | Avg Reward:  -111.15 | MTTD:  15 | MTTR: 200 | FPR: 0.016 | CSR: 0 | 2.8 ep/s | ETA: 50m
Episode   1700 | Avg Reward:  -106.74 | MTTD:   6 | MTTR:  15 | FPR: 0.006 | CSR: 1 | 2.8 ep/s | ETA: 49m
Episode   1800 | Avg Reward:   -98.36 | MTTD:  39 | MTTR:  43 | FPR: 0.010 | CSR: 1 | 2.9 ep/s | ETA: 48m
Episode   1900 | Avg Reward:  -100.40 | MTTD:  23 | MTTR: 200 | FPR: 0.010 | CSR: 0 | 2.9 ep/s | ETA: 47m
Episode   2000 | Avg Reward:   -83.53 | MTTD:  19 | MTTR: 167 | FPR: 0.011 | CSR: 1 | 2.9 ep/s | ETA: 46m
Episode   2100 | Avg Reward:   -69.99 | MTTD: 100 | MTTR: 169 | FPR: 0.008 | CSR: 1 | 2.9 ep/s | ETA: 45m
Episode   2200 | Avg Reward:   -62.54 | MTTD:  31 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 2.9 ep/s | ETA: 44m
Episode   2300 | Avg Reward:   -67.94 | MTTD:  17 | MTTR: 200 | FPR: 0.007 | CSR: 0 | 2.9 ep/s | ETA: 44m
Episode   2400 | Avg Reward:   -57.29 | MTTD:   9 | MTTR:  75 | FPR: 0.010 | CSR: 1 | 2.9 ep/s | ETA: 43m
Episode   2500 | Avg Reward:   -62.10 | MTTD:  52 | MTTR: 149 | FPR: 0.007 | CSR: 1 | 2.9 ep/s | ETA: 43m
Episode   2600 | Avg Reward:   -46.22 | MTTD:  43 | MTTR: 140 | FPR: 0.005 | CSR: 1 | 2.9 ep/s | ETA: 43m
Episode   2700 | Avg Reward:   -27.98 | MTTD:   4 | MTTR: 118 | FPR: 0.003 | CSR: 1 | 2.9 ep/s | ETA: 42m
Episode   2800 | Avg Reward:   -25.17 | MTTD:  16 | MTTR: 151 | FPR: 0.003 | CSR: 1 | 2.9 ep/s | ETA: 42m
Episode   2900 | Avg Reward:   -24.45 | MTTD:   8 | MTTR: 170 | FPR: 0.003 | CSR: 1 | 2.8 ep/s | ETA: 42m
Episode   3000 | Avg Reward:   -18.62 | MTTD:  58 | MTTR:  94 | FPR: 0.005 | CSR: 1 | 2.8 ep/s | ETA: 41m
Episode   3100 | Avg Reward:   -14.18 | MTTD:  10 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.8 ep/s | ETA: 42m
Episode   3200 | Avg Reward:    -9.47 | MTTD:  10 | MTTR:  47 | FPR: 0.001 | CSR: 1 | 2.7 ep/s | ETA: 41m
Episode   3300 | Avg Reward:    -8.47 | MTTD:  21 | MTTR:  86 | FPR: 0.003 | CSR: 1 | 2.7 ep/s | ETA: 41m
Episode   3400 | Avg Reward:    -6.98 | MTTD: 166 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.7 ep/s | ETA: 41m
Episode   3500 | Avg Reward:    -8.29 | MTTD:  46 | MTTR:  80 | FPR: 0.001 | CSR: 1 | 2.6 ep/s | ETA: 41m
Episode   3600 | Avg Reward:    -3.54 | MTTD:  48 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.6 ep/s | ETA: 41m
Episode   3700 | Avg Reward:    -2.54 | MTTD:  14 | MTTR: 176 | FPR: 0.001 | CSR: 1 | 2.6 ep/s | ETA: 41m
Episode   3800 | Avg Reward:    -0.97 | MTTD: 107 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.6 ep/s | ETA: 40m
Episode   3900 | Avg Reward:    -1.67 | MTTD:  15 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.5 ep/s | ETA: 40m
Episode   4000 | Avg Reward:    -0.66 | MTTD:  15 | MTTR:  21 | FPR: 0.001 | CSR: 1 | 2.5 ep/s | ETA: 40m
Episode   4100 | Avg Reward:    -0.00 | MTTD:  20 | MTTR:  78 | FPR: 0.001 | CSR: 1 | 2.5 ep/s | ETA: 40m
Episode   4200 | Avg Reward:    -1.68 | MTTD:  61 | MTTR: 174 | FPR: 0.001 | CSR: 1 | 2.5 ep/s | ETA: 39m
Episode   4300 | Avg Reward:    -1.97 | MTTD:  25 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.4 ep/s | ETA: 39m
Episode   4400 | Avg Reward:    -0.31 | MTTD:  14 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.4 ep/s | ETA: 38m
Episode   4500 | Avg Reward:     0.25 | MTTD:  16 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.4 ep/s | ETA: 38m
Episode   4600 | Avg Reward:    -0.51 | MTTD:  14 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.4 ep/s | ETA: 37m
Episode   4700 | Avg Reward:     1.16 | MTTD:  37 | MTTR: 129 | FPR: 0.000 | CSR: 1 | 2.4 ep/s | ETA: 37m
Episode   4800 | Avg Reward:     2.56 | MTTD:  38 | MTTR:  77 | FPR: 0.001 | CSR: 1 | 2.4 ep/s | ETA: 36m
Episode   4900 | Avg Reward:     1.26 | MTTD:   8 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.4 ep/s | ETA: 36m
Episode   5000 | Avg Reward:     3.22 | MTTD:  22 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.4 ep/s | ETA: 35m
Episode   5100 | Avg Reward:     3.41 | MTTD:  14 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.3 ep/s | ETA: 35m
Episode   5200 | Avg Reward:     4.53 | MTTD:  31 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.3 ep/s | ETA: 35m
Episode   5300 | Avg Reward:     3.30 | MTTD:   8 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.3 ep/s | ETA: 34m
Episode   5400 | Avg Reward:     2.83 | MTTD:  13 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.3 ep/s | ETA: 34m
Episode   5500 | Avg Reward:     4.65 | MTTD: 111 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.3 ep/s | ETA: 33m
Episode   5600 | Avg Reward:     3.61 | MTTD:  11 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.3 ep/s | ETA: 32m
Episode   5700 | Avg Reward:     3.29 | MTTD: 200 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.2 ep/s | ETA: 32m
