Device: mps, Seed: 42, Workers: 1
torch.compile: skipped (Python 3.9, needs 3.10+)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=1
============================================================
Episode    100 | Avg Reward:  -216.23 | MTTD:   9 | MTTR:  15 | FPR: 0.024 | CSR: 1 | 1.9 ep/s | ETA: 88m
Episode    200 | Avg Reward:  -135.32 | MTTD:   9 | MTTR: 200 | FPR: 0.015 | CSR: 0 | 2.2 ep/s | ETA: 75m
Episode    300 | Avg Reward:  -171.61 | MTTD:  17 | MTTR: 200 | FPR: 0.016 | CSR: 0 | 2.1 ep/s | ETA: 78m
Episode    400 | Avg Reward:  -130.73 | MTTD:  10 | MTTR:  28 | FPR: 0.017 | CSR: 1 | 2.1 ep/s | ETA: 75m
Episode    500 | Avg Reward:  -170.03 | MTTD:   4 | MTTR: 200 | FPR: 0.016 | CSR: 0 | 2.1 ep/s | ETA: 75m
Episode    600 | Avg Reward:  -138.81 | MTTD:  17 | MTTR:  36 | FPR: 0.010 | CSR: 1 | 2.1 ep/s | ETA: 73m
Episode    700 | Avg Reward:  -142.59 | MTTD:  39 | MTTR:  42 | FPR: 0.012 | CSR: 1 | 2.1 ep/s | ETA: 73m
Episode    800 | Avg Reward:  -142.70 | MTTD:   9 | MTTR: 200 | FPR: 0.013 | CSR: 0 | 2.1 ep/s | ETA: 73m
Episode    900 | Avg Reward:  -139.81 | MTTD:   7 | MTTR:  34 | FPR: 0.011 | CSR: 1 | 2.1 ep/s | ETA: 72m
Episode   1000 | Avg Reward:  -140.49 | MTTD:  25 | MTTR: 200 | FPR: 0.013 | CSR: 0 | 2.1 ep/s | ETA: 72m
Episode   1100 | Avg Reward:  -128.14 | MTTD:  11 | MTTR:  32 | FPR: 0.014 | CSR: 1 | 2.1 ep/s | ETA: 69m
Episode   1200 | Avg Reward:  -129.41 | MTTD:   8 | MTTR: 200 | FPR: 0.014 | CSR: 0 | 2.2 ep/s | ETA: 66m
Episode   1300 | Avg Reward:  -104.97 | MTTD:  14 | MTTR: 200 | FPR: 0.006 | CSR: 0 | 2.3 ep/s | ETA: 63m
Episode   1400 | Avg Reward:  -126.63 | MTTD:  24 | MTTR:  34 | FPR: 0.010 | CSR: 1 | 2.3 ep/s | ETA: 62m
Episode   1500 | Avg Reward:  -108.32 | MTTD:  19 | MTTR: 200 | FPR: 0.011 | CSR: 0 | 2.4 ep/s | ETA: 60m
Episode   1600 | Avg Reward:   -89.56 | MTTD:  33 | MTTR:  93 | FPR: 0.009 | CSR: 1 | 2.4 ep/s | ETA: 58m
Episode   1700 | Avg Reward:   -90.91 | MTTD:  15 | MTTR:  33 | FPR: 0.006 | CSR: 1 | 2.4 ep/s | ETA: 58m
Episode   1800 | Avg Reward:   -72.49 | MTTD:  61 | MTTR: 200 | FPR: 0.006 | CSR: 0 | 2.4 ep/s | ETA: 57m
Episode   1900 | Avg Reward:   -57.49 | MTTD:  26 | MTTR:  79 | FPR: 0.005 | CSR: 1 | 2.4 ep/s | ETA: 56m
Episode   2000 | Avg Reward:   -64.01 | MTTD:   4 | MTTR:   4 | FPR: 0.000 | CSR: 1 | 2.4 ep/s | ETA: 55m
Episode   2100 | Avg Reward:   -47.51 | MTTD:   6 | MTTR:  27 | FPR: 0.007 | CSR: 1 | 2.4 ep/s | ETA: 55m
Episode   2200 | Avg Reward:   -41.11 | MTTD:  10 | MTTR:  49 | FPR: 0.001 | CSR: 1 | 2.4 ep/s | ETA: 54m
Episode   2300 | Avg Reward:   -30.39 | MTTD:  12 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 2.4 ep/s | ETA: 54m
Episode   2400 | Avg Reward:   -19.85 | MTTD:  14 | MTTR:  70 | FPR: 0.005 | CSR: 1 | 2.4 ep/s | ETA: 53m
Episode   2500 | Avg Reward:   -19.86 | MTTD:  32 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.4 ep/s | ETA: 52m
Episode   2600 | Avg Reward:   -11.78 | MTTD:   6 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.4 ep/s | ETA: 52m
Episode   2700 | Avg Reward:   -12.62 | MTTD:   7 | MTTR:  40 | FPR: 0.002 | CSR: 1 | 2.3 ep/s | ETA: 52m
Episode   2800 | Avg Reward:   -11.56 | MTTD:  18 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.3 ep/s | ETA: 52m
Episode   2900 | Avg Reward:    -8.85 | MTTD:   6 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 2.3 ep/s | ETA: 52m
Episode   3000 | Avg Reward:    -5.90 | MTTD:  27 | MTTR:  83 | FPR: 0.002 | CSR: 1 | 2.3 ep/s | ETA: 51m
Episode   3100 | Avg Reward:    -6.34 | MTTD:  30 | MTTR: 124 | FPR: 0.001 | CSR: 1 | 2.3 ep/s | ETA: 51m
Episode   3200 | Avg Reward:    -5.43 | MTTD:   5 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.2 ep/s | ETA: 51m
Episode   3300 | Avg Reward:    -1.88 | MTTD:  14 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.2 ep/s | ETA: 50m
Episode   3400 | Avg Reward:    -2.39 | MTTD:  31 | MTTR: 106 | FPR: 0.002 | CSR: 1 | 2.2 ep/s | ETA: 50m
Episode   3500 | Avg Reward:    -1.88 | MTTD:  33 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.2 ep/s | ETA: 50m
Episode   3600 | Avg Reward:    -2.74 | MTTD:  30 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.2 ep/s | ETA: 50m
Episode   3700 | Avg Reward:    -1.05 | MTTD:  53 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 49m
Episode   3800 | Avg Reward:    -0.84 | MTTD:  28 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 48m
Episode   3900 | Avg Reward:    -0.86 | MTTD: 143 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 48m
Episode   4000 | Avg Reward:     0.52 | MTTD:   8 | MTTR:  20 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 47m
Episode   4100 | Avg Reward:     2.11 | MTTD:  20 | MTTR: 185 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 46m
Episode   4200 | Avg Reward:     1.43 | MTTD:  30 | MTTR: 162 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 46m
Episode   4300 | Avg Reward:     2.31 | MTTD:  18 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 45m
Episode   4400 | Avg Reward:     1.62 | MTTD:  22 | MTTR: 191 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 45m
Episode   4500 | Avg Reward:     2.67 | MTTD:  14 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 45m
Episode   4600 | Avg Reward:     2.69 | MTTD:  18 | MTTR:  71 | FPR: 0.001 | CSR: 1 | 2.0 ep/s | ETA: 44m
Episode   4700 | Avg Reward:     2.39 | MTTD:  54 | MTTR: 137 | FPR: 0.001 | CSR: 1 | 2.0 ep/s | ETA: 44m
Episode   4800 | Avg Reward:     1.71 | MTTD:  29 | MTTR: 143 | FPR: 0.001 | CSR: 1 | 2.0 ep/s | ETA: 43m
Episode   4900 | Avg Reward:     1.91 | MTTD:  10 | MTTR: 157 | FPR: 0.001 | CSR: 1 | 2.0 ep/s | ETA: 42m
Episode   5000 | Avg Reward:     2.33 | MTTD:  12 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.0 ep/s | ETA: 41m
Episode   5100 | Avg Reward:     3.64 | MTTD: 200 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.0 ep/s | ETA: 41m
Episode   5200 | Avg Reward:     2.18 | MTTD:  86 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 2.0 ep/s | ETA: 40m
Episode   5300 | Avg Reward:     1.92 | MTTD:  26 | MTTR: 176 | FPR: 0.000 | CSR: 1 | 2.0 ep/s | ETA: 40m
Episode   5400 | Avg Reward:     3.11 | MTTD:  14 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.0 ep/s | ETA: 39m
Episode   5500 | Avg Reward:     1.13 | MTTD:  56 | MTTR:  57 | FPR: 0.004 | CSR: 1 | 1.9 ep/s | ETA: 39m
Episode   5600 | Avg Reward:     2.88 | MTTD:  40 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 38m
Episode   5700 | Avg Reward:     3.66 | MTTD:  11 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 1.9 ep/s | ETA: 38m
Episode   5800 | Avg Reward:     2.69 | MTTD:   7 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 1.9 ep/s | ETA: 37m
Episode   5900 | Avg Reward:     3.04 | MTTD:  77 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 1.9 ep/s | ETA: 36m
Episode   6000 | Avg Reward:     2.79 | MTTD: 200 | MTTR: 200 | FPR: 0.007 | CSR: 0 | 1.9 ep/s | ETA: 35m
Episode   6100 | Avg Reward:     1.36 | MTTD:  24 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 34m
Episode   6200 | Avg Reward:     2.62 | MTTD:  25 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 1.9 ep/s | ETA: 33m
Episode   6300 | Avg Reward:     3.55 | MTTD:   7 | MTTR: 173 | FPR: 0.001 | CSR: 1 | 1.9 ep/s | ETA: 33m
Episode   6400 | Avg Reward:     3.02 | MTTD:  76 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 32m
Episode   6500 | Avg Reward:     3.06 | MTTD:  18 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 31m
Episode   6600 | Avg Reward:     2.32 | MTTD:   8 | MTTR:  63 | FPR: 0.001 | CSR: 1 | 1.9 ep/s | ETA: 31m
Episode   6700 | Avg Reward:     3.40 | MTTD:  13 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 30m
