Device: mps, Seed: 42, Workers: 4
torch.compile: enabled for SC (aot_eager)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=4
============================================================
Episode    100 | Avg Reward:  -237.25 | MTTD:   7 | MTTR:  35 | FPR: 0.014 | CSR: 1 | 2.0 ep/s | ETA: 82m
Episode    200 | Avg Reward:  -148.87 | MTTD:  16 | MTTR:  39 | FPR: 0.016 | CSR: 1 | 2.7 ep/s | ETA: 62m
Episode    300 | Avg Reward:  -169.37 | MTTD:   4 | MTTR: 200 | FPR: 0.016 | CSR: 0 | 2.7 ep/s | ETA: 60m
Episode    400 | Avg Reward:  -156.62 | MTTD:   8 | MTTR:  70 | FPR: 0.015 | CSR: 1 | 2.8 ep/s | ETA: 57m
Episode    500 | Avg Reward:  -162.51 | MTTD:  10 | MTTR: 200 | FPR: 0.014 | CSR: 0 | 2.8 ep/s | ETA: 56m
Episode    600 | Avg Reward:  -169.49 | MTTD:  13 | MTTR:  50 | FPR: 0.022 | CSR: 1 | 2.8 ep/s | ETA: 56m
Episode    700 | Avg Reward:  -152.40 | MTTD:  18 | MTTR: 200 | FPR: 0.019 | CSR: 0 | 2.9 ep/s | ETA: 53m
Episode    800 | Avg Reward:  -145.37 | MTTD:  13 | MTTR: 106 | FPR: 0.012 | CSR: 1 | 2.8 ep/s | ETA: 54m
Episode    900 | Avg Reward:  -128.01 | MTTD:  16 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 2.9 ep/s | ETA: 52m
Episode   1000 | Avg Reward:  -119.98 | MTTD:  14 | MTTR: 200 | FPR: 0.013 | CSR: 0 | 3.0 ep/s | ETA: 51m
Episode   1100 | Avg Reward:  -120.44 | MTTD:  14 | MTTR:  44 | FPR: 0.016 | CSR: 1 | 3.0 ep/s | ETA: 50m
Episode   1200 | Avg Reward:  -124.57 | MTTD:   9 | MTTR: 200 | FPR: 0.013 | CSR: 0 | 2.9 ep/s | ETA: 50m
Episode   1300 | Avg Reward:  -127.87 | MTTD:  12 | MTTR:  91 | FPR: 0.012 | CSR: 1 | 3.0 ep/s | ETA: 49m
Episode   1400 | Avg Reward:  -105.76 | MTTD:  17 | MTTR:  48 | FPR: 0.009 | CSR: 1 | 3.0 ep/s | ETA: 49m
Episode   1500 | Avg Reward:   -93.76 | MTTD:  18 | MTTR:  30 | FPR: 0.013 | CSR: 1 | 3.0 ep/s | ETA: 48m
Episode   1600 | Avg Reward:   -83.73 | MTTD:  14 | MTTR:  51 | FPR: 0.006 | CSR: 1 | 2.9 ep/s | ETA: 48m
Episode   1700 | Avg Reward:   -90.00 | MTTD:  11 | MTTR:  18 | FPR: 0.007 | CSR: 1 | 3.0 ep/s | ETA: 47m
Episode   1800 | Avg Reward:   -79.55 | MTTD:   7 | MTTR: 200 | FPR: 0.006 | CSR: 0 | 3.0 ep/s | ETA: 46m
Episode   1900 | Avg Reward:   -73.17 | MTTD:  32 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 3.0 ep/s | ETA: 46m
Episode   2000 | Avg Reward:   -61.54 | MTTD:  11 | MTTR:  65 | FPR: 0.007 | CSR: 1 | 2.9 ep/s | ETA: 46m
Episode   2100 | Avg Reward:   -56.42 | MTTD:  14 | MTTR: 200 | FPR: 0.006 | CSR: 0 | 2.9 ep/s | ETA: 46m
Episode   2200 | Avg Reward:   -54.34 | MTTD:  12 | MTTR:  42 | FPR: 0.005 | CSR: 1 | 2.9 ep/s | ETA: 45m
Episode   2300 | Avg Reward:   -58.19 | MTTD:   5 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 2.9 ep/s | ETA: 44m
Episode   2400 | Avg Reward:   -44.93 | MTTD:   6 | MTTR:  43 | FPR: 0.002 | CSR: 1 | 3.0 ep/s | ETA: 43m
Episode   2500 | Avg Reward:   -45.29 | MTTD:   7 | MTTR:  19 | FPR: 0.001 | CSR: 1 | 3.0 ep/s | ETA: 42m
Episode   2600 | Avg Reward:   -36.45 | MTTD:   5 | MTTR:  38 | FPR: 0.004 | CSR: 1 | 3.0 ep/s | ETA: 41m
Episode   2700 | Avg Reward:   -40.32 | MTTD: 200 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 3.0 ep/s | ETA: 41m
Episode   2800 | Avg Reward:   -29.09 | MTTD:  17 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.0 ep/s | ETA: 40m
Episode   2900 | Avg Reward:   -22.58 | MTTD:   4 | MTTR:   4 | FPR: 0.000 | CSR: 1 | 3.0 ep/s | ETA: 39m
Episode   3000 | Avg Reward:   -13.78 | MTTD:  10 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.0 ep/s | ETA: 39m
