Device: mps, Seed: 456, Workers: 4
torch.compile: enabled for SC (aot_eager)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=4
============================================================
Episode    100 | Avg Reward:  -215.95 | MTTD:  11 | MTTR:  25 | FPR: 0.024 | CSR: 1 | 2.1 ep/s | ETA: 79m
Episode    200 | Avg Reward:  -108.19 | MTTD:  17 | MTTR:  26 | FPR: 0.014 | CSR: 1 | 2.9 ep/s | ETA: 56m
Episode    300 | Avg Reward:  -122.75 | MTTD:   8 | MTTR:  44 | FPR: 0.014 | CSR: 1 | 2.9 ep/s | ETA: 55m
Episode    400 | Avg Reward:  -113.26 | MTTD:  10 | MTTR: 200 | FPR: 0.015 | CSR: 0 | 3.3 ep/s | ETA: 49m
Episode    500 | Avg Reward:  -157.46 | MTTD:  10 | MTTR:  71 | FPR: 0.015 | CSR: 1 | 3.3 ep/s | ETA: 49m
Episode    600 | Avg Reward:  -145.01 | MTTD:   8 | MTTR: 200 | FPR: 0.015 | CSR: 0 | 3.2 ep/s | ETA: 49m
Episode    700 | Avg Reward:  -122.38 | MTTD:  27 | MTTR: 200 | FPR: 0.015 | CSR: 0 | 3.3 ep/s | ETA: 47m
Episode    800 | Avg Reward:  -122.81 | MTTD:  20 | MTTR: 200 | FPR: 0.014 | CSR: 0 | 3.4 ep/s | ETA: 45m
Episode    900 | Avg Reward:  -133.13 | MTTD:  13 | MTTR:  20 | FPR: 0.020 | CSR: 1 | 3.3 ep/s | ETA: 46m
Episode   1000 | Avg Reward:  -128.45 | MTTD:  18 | MTTR:  39 | FPR: 0.015 | CSR: 1 | 3.3 ep/s | ETA: 45m
Episode   1100 | Avg Reward:  -114.44 | MTTD:  13 | MTTR:  57 | FPR: 0.015 | CSR: 1 | 3.4 ep/s | ETA: 44m
Episode   1200 | Avg Reward:  -134.76 | MTTD: 200 | MTTR: 200 | FPR: 0.015 | CSR: 0 | 3.4 ep/s | ETA: 44m
Episode   1300 | Avg Reward:  -134.94 | MTTD:  27 | MTTR:  60 | FPR: 0.012 | CSR: 1 | 3.4 ep/s | ETA: 43m
Episode   1400 | Avg Reward:  -113.35 | MTTD:   7 | MTTR: 105 | FPR: 0.013 | CSR: 1 | 3.3 ep/s | ETA: 43m
Episode   1500 | Avg Reward:  -117.58 | MTTD:  11 | MTTR: 200 | FPR: 0.012 | CSR: 0 | 3.3 ep/s | ETA: 43m
Episode   1600 | Avg Reward:  -111.91 | MTTD:  28 | MTTR:  28 | FPR: 0.011 | CSR: 1 | 3.3 ep/s | ETA: 42m
Episode   1700 | Avg Reward:  -101.62 | MTTD:  18 | MTTR: 158 | FPR: 0.011 | CSR: 1 | 3.3 ep/s | ETA: 42m
Episode   1800 | Avg Reward:   -98.30 | MTTD:  33 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 3.2 ep/s | ETA: 42m
Episode   1900 | Avg Reward:   -83.60 | MTTD:  26 | MTTR:  32 | FPR: 0.008 | CSR: 1 | 3.2 ep/s | ETA: 42m
Episode   2000 | Avg Reward:   -68.24 | MTTD:  17 | MTTR:  57 | FPR: 0.006 | CSR: 1 | 3.2 ep/s | ETA: 41m
Episode   2100 | Avg Reward:   -71.52 | MTTD:  12 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 3.1 ep/s | ETA: 43m
Episode   2200 | Avg Reward:   -68.72 | MTTD:  42 | MTTR: 200 | FPR: 0.007 | CSR: 0 | 3.0 ep/s | ETA: 43m
Episode   2300 | Avg Reward:   -56.65 | MTTD:  11 | MTTR: 150 | FPR: 0.006 | CSR: 1 | 3.0 ep/s | ETA: 42m
Episode   2400 | Avg Reward:   -47.65 | MTTD:   8 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 3.0 ep/s | ETA: 42m
Episode   2500 | Avg Reward:   -44.55 | MTTD:  13 | MTTR:  53 | FPR: 0.003 | CSR: 1 | 3.0 ep/s | ETA: 41m
Episode   2600 | Avg Reward:   -33.92 | MTTD:  34 | MTTR: 200 | FPR: 0.005 | CSR: 0 | 3.0 ep/s | ETA: 41m
Episode   2700 | Avg Reward:   -29.76 | MTTD:  29 | MTTR: 171 | FPR: 0.002 | CSR: 1 | 3.0 ep/s | ETA: 41m
Episode   2800 | Avg Reward:   -23.77 | MTTD:  16 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 3.0 ep/s | ETA: 40m
Episode   2900 | Avg Reward:   -19.67 | MTTD:  11 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 3.0 ep/s | ETA: 40m
Episode   3000 | Avg Reward:   -15.20 | MTTD:  21 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.9 ep/s | ETA: 40m
Episode   3100 | Avg Reward:   -11.50 | MTTD:  36 | MTTR:  99 | FPR: 0.002 | CSR: 1 | 2.9 ep/s | ETA: 40m
Episode   3200 | Avg Reward:   -10.33 | MTTD:  86 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.9 ep/s | ETA: 40m
Episode   3300 | Avg Reward:    -7.14 | MTTD:  68 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.8 ep/s | ETA: 40m
Episode   3400 | Avg Reward:    -6.80 | MTTD:  26 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.8 ep/s | ETA: 40m
Episode   3500 | Avg Reward:    -5.36 | MTTD:  35 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 2.8 ep/s | ETA: 39m
Episode   3600 | Avg Reward:    -6.32 | MTTD:  63 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.7 ep/s | ETA: 39m
Episode   3700 | Avg Reward:    -4.39 | MTTD: 200 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.6 ep/s | ETA: 40m
Episode   3800 | Avg Reward:    -3.53 | MTTD:  16 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.5 ep/s | ETA: 41m
Episode   3900 | Avg Reward:    -4.15 | MTTD:  57 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.5 ep/s | ETA: 40m
Episode   4000 | Avg Reward:    -4.08 | MTTD:  75 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.5 ep/s | ETA: 39m
Episode   4100 | Avg Reward:    -3.20 | MTTD: 119 | MTTR: 193 | FPR: 0.001 | CSR: 1 | 2.6 ep/s | ETA: 38m
Episode   4200 | Avg Reward:    -3.79 | MTTD: 109 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.6 ep/s | ETA: 37m
Episode   4300 | Avg Reward:    -2.29 | MTTD:  38 | MTTR: 124 | FPR: 0.002 | CSR: 1 | 2.6 ep/s | ETA: 37m
Episode   4400 | Avg Reward:    -1.88 | MTTD: 200 | MTTR: 200 | FPR: 0.008 | CSR: 0 | 2.6 ep/s | ETA: 36m
Episode   4500 | Avg Reward:    -1.55 | MTTD: 200 | MTTR: 200 | FPR: 0.007 | CSR: 0 | 2.6 ep/s | ETA: 35m
Episode   4600 | Avg Reward:    -1.08 | MTTD: 106 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.7 ep/s | ETA: 34m
Episode   4700 | Avg Reward:    -1.08 | MTTD: 200 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 2.7 ep/s | ETA: 33m
Episode   4800 | Avg Reward:    -2.14 | MTTD: 200 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.7 ep/s | ETA: 32m
