Device: mps, Seed: 789, Workers: 4
torch.compile: enabled for SC (aot_eager)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=4
============================================================
Episode    100 | Avg Reward:  -189.57 | MTTD:  13 | MTTR: 200 | FPR: 0.016 | CSR: 0 | 7.7 ep/s | ETA: 21m
Episode    200 | Avg Reward:   -93.81 | MTTD:  19 | MTTR: 200 | FPR: 0.016 | CSR: 0 | 8.8 ep/s | ETA: 19m
Episode    300 | Avg Reward:  -104.71 | MTTD:  11 | MTTR:  43 | FPR: 0.014 | CSR: 1 | 9.1 ep/s | ETA: 18m
Episode    400 | Avg Reward:  -111.04 | MTTD:   6 | MTTR: 200 | FPR: 0.019 | CSR: 0 | 9.1 ep/s | ETA: 18m
Episode    500 | Avg Reward:  -108.61 | MTTD:  24 | MTTR: 200 | FPR: 0.013 | CSR: 0 | 9.3 ep/s | ETA: 17m
Episode    600 | Avg Reward:  -126.82 | MTTD:  10 | MTTR: 188 | FPR: 0.017 | CSR: 1 | 9.3 ep/s | ETA: 17m
Episode    700 | Avg Reward:  -111.11 | MTTD:  10 | MTTR: 200 | FPR: 0.015 | CSR: 0 | 9.4 ep/s | ETA: 16m
Episode    800 | Avg Reward:  -127.24 | MTTD:  27 | MTTR:  42 | FPR: 0.024 | CSR: 1 | 9.4 ep/s | ETA: 16m
Episode    900 | Avg Reward:  -114.22 | MTTD:  25 | MTTR:  70 | FPR: 0.013 | CSR: 1 | 9.4 ep/s | ETA: 16m
Episode   1000 | Avg Reward:  -116.90 | MTTD:   7 | MTTR:  18 | FPR: 0.012 | CSR: 1 | 9.3 ep/s | ETA: 16m
Episode   1100 | Avg Reward:  -134.57 | MTTD:   5 | MTTR:  52 | FPR: 0.012 | CSR: 1 | 9.3 ep/s | ETA: 16m
Episode   1200 | Avg Reward:  -120.50 | MTTD:   8 | MTTR:  40 | FPR: 0.012 | CSR: 1 | 9.3 ep/s | ETA: 16m
Episode   1300 | Avg Reward:  -108.80 | MTTD:   8 | MTTR:  28 | FPR: 0.010 | CSR: 1 | 9.2 ep/s | ETA: 16m
Episode   1400 | Avg Reward:  -102.75 | MTTD:   7 | MTTR:  52 | FPR: 0.015 | CSR: 1 | 9.3 ep/s | ETA: 15m
Episode   1500 | Avg Reward:  -122.58 | MTTD:  15 | MTTR: 200 | FPR: 0.013 | CSR: 0 | 9.0 ep/s | ETA: 16m
Episode   1600 | Avg Reward:  -104.36 | MTTD:  10 | MTTR:  93 | FPR: 0.012 | CSR: 1 | 8.9 ep/s | ETA: 16m
Episode   1700 | Avg Reward:   -93.31 | MTTD:  14 | MTTR: 200 | FPR: 0.010 | CSR: 0 | 8.7 ep/s | ETA: 16m
Episode   1800 | Avg Reward:   -94.10 | MTTD:   8 | MTTR: 197 | FPR: 0.012 | CSR: 1 | 8.5 ep/s | ETA: 16m
Episode   1900 | Avg Reward:   -86.67 | MTTD: 200 | MTTR: 200 | FPR: 0.012 | CSR: 0 | 8.3 ep/s | ETA: 16m
Episode   2000 | Avg Reward:   -88.16 | MTTD:  13 | MTTR:  89 | FPR: 0.009 | CSR: 1 | 8.1 ep/s | ETA: 17m
Episode   2100 | Avg Reward:   -69.88 | MTTD:  26 | MTTR: 200 | FPR: 0.011 | CSR: 0 | 7.9 ep/s | ETA: 17m
Episode   2200 | Avg Reward:   -69.24 | MTTD:  18 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 7.6 ep/s | ETA: 17m
Episode   2300 | Avg Reward:   -57.17 | MTTD: 200 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 7.4 ep/s | ETA: 17m
Episode   2400 | Avg Reward:   -40.73 | MTTD: 168 | MTTR: 200 | FPR: 0.006 | CSR: 0 | 7.2 ep/s | ETA: 18m
Episode   2500 | Avg Reward:   -28.83 | MTTD:  18 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 7.0 ep/s | ETA: 18m
Episode   2600 | Avg Reward:   -25.24 | MTTD:  31 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 6.8 ep/s | ETA: 18m
Episode   2700 | Avg Reward:   -19.38 | MTTD:  51 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 6.7 ep/s | ETA: 18m
Episode   2800 | Avg Reward:   -13.96 | MTTD:  58 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 6.5 ep/s | ETA: 19m
Episode   2900 | Avg Reward:   -11.04 | MTTD: 200 | MTTR: 200 | FPR: 0.005 | CSR: 0 | 6.4 ep/s | ETA: 19m
Episode   3000 | Avg Reward:    -9.02 | MTTD:  71 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 6.2 ep/s | ETA: 19m
Episode   3100 | Avg Reward:    -9.88 | MTTD:  27 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 6.1 ep/s | ETA: 19m
Episode   3200 | Avg Reward:   -11.99 | MTTD:  13 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 6.1 ep/s | ETA: 18m
Episode   3300 | Avg Reward:    -6.26 | MTTD:  23 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 6.1 ep/s | ETA: 18m
Episode   3400 | Avg Reward:   -12.29 | MTTD: 200 | MTTR: 200 | FPR: 0.008 | CSR: 0 | 6.1 ep/s | ETA: 18m
Episode   3500 | Avg Reward:    -8.52 | MTTD:  56 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 6.0 ep/s | ETA: 18m
Episode   3600 | Avg Reward:    -7.28 | MTTD: 111 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 5.9 ep/s | ETA: 18m
Episode   3700 | Avg Reward:    -5.41 | MTTD:  73 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 5.9 ep/s | ETA: 18m
Episode   3800 | Avg Reward:    -4.32 | MTTD:   6 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 5.9 ep/s | ETA: 18m
Episode   3900 | Avg Reward:    -2.86 | MTTD:  13 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 5.9 ep/s | ETA: 17m
Episode   4000 | Avg Reward:    -2.97 | MTTD: 192 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 5.9 ep/s | ETA: 17m
Episode   4100 | Avg Reward:    -4.47 | MTTD: 157 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 5.8 ep/s | ETA: 17m
Episode   4200 | Avg Reward:    -2.35 | MTTD: 123 | MTTR: 169 | FPR: 0.001 | CSR: 1 | 5.8 ep/s | ETA: 17m
Episode   4300 | Avg Reward:     0.93 | MTTD:   7 | MTTR: 111 | FPR: 0.002 | CSR: 1 | 5.8 ep/s | ETA: 16m
Episode   4400 | Avg Reward:     1.02 | MTTD:  11 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 5.8 ep/s | ETA: 16m
Episode   4500 | Avg Reward:    -3.25 | MTTD:  23 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 5.8 ep/s | ETA: 16m
Episode   4600 | Avg Reward:    -2.82 | MTTD: 103 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 5.7 ep/s | ETA: 16m
Episode   4700 | Avg Reward:    -3.23 | MTTD:  55 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 5.7 ep/s | ETA: 15m
Episode   4800 | Avg Reward:    -2.61 | MTTD:  19 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 5.7 ep/s | ETA: 15m
Episode   4900 | Avg Reward:    -2.73 | MTTD: 102 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 5.7 ep/s | ETA: 15m
Episode   5000 | Avg Reward:    -1.72 | MTTD:  21 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 5.7 ep/s | ETA: 15m
Episode   5100 | Avg Reward:    -0.69 | MTTD:  19 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 5.6 ep/s | ETA: 14m
Episode   5200 | Avg Reward:    -1.48 | MTTD:  11 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 5.6 ep/s | ETA: 14m
Episode   5300 | Avg Reward:    -1.76 | MTTD:  19 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 5.6 ep/s | ETA: 14m
Episode   5400 | Avg Reward:    -1.33 | MTTD: 102 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 5.6 ep/s | ETA: 14m
Episode   5500 | Avg Reward:     1.89 | MTTD:  14 | MTTR: 111 | FPR: 0.000 | CSR: 1 | 5.6 ep/s | ETA: 13m
Episode   5600 | Avg Reward:     3.86 | MTTD:  16 | MTTR:  35 | FPR: 0.001 | CSR: 1 | 5.6 ep/s | ETA: 13m
Episode   5700 | Avg Reward:     4.36 | MTTD:  83 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 5.6 ep/s | ETA: 13m
Episode   5800 | Avg Reward:     3.65 | MTTD:  12 | MTTR:  35 | FPR: 0.002 | CSR: 1 | 5.6 ep/s | ETA: 13m
Episode   5900 | Avg Reward:     3.73 | MTTD:  22 | MTTR:  78 | FPR: 0.000 | CSR: 1 | 5.6 ep/s | ETA: 12m
Episode   6000 | Avg Reward:     5.20 | MTTD:  17 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 5.6 ep/s | ETA: 12m
Episode   6100 | Avg Reward:     4.22 | MTTD:  18 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 5.6 ep/s | ETA: 12m
Episode   6200 | Avg Reward:     6.19 | MTTD:  50 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 5.6 ep/s | ETA: 11m
Episode   6300 | Avg Reward:     3.64 | MTTD:   4 | MTTR:   4 | FPR: 0.000 | CSR: 1 | 5.7 ep/s | ETA: 11m
Episode   6400 | Avg Reward:     6.11 | MTTD:  32 | MTTR: 133 | FPR: 0.001 | CSR: 1 | 5.7 ep/s | ETA: 11m
