Training: mappo, seed=42, episodes=10000
Episode    100 | Reward: -73.58 | MTTD: 200
Episode    200 | Reward: -943.13 | MTTD: 200
Episode    300 | Reward: -107.34 | MTTD: 200
Episode    400 | Reward: -935.04 | MTTD: 200
Episode    500 | Reward: -69.10 | MTTD: 200
Episode    600 | Reward: -183.08 | MTTD: 200
Episode    700 | Reward: -167.80 | MTTD: 200
Episode    800 | Reward: -946.64 | MTTD: 200
Episode    900 | Reward: -92.23 | MTTD: 200
Episode   1000 | Reward: -245.00 | MTTD: 200
Episode   1100 | Reward: -124.52 | MTTD: 200
Episode   1200 | Reward: -830.19 | MTTD: 200
Episode   1300 | Reward: -981.52 | MTTD: 200
Episode   1400 | Reward: -902.89 | MTTD: 200
Episode   1500 | Reward: -880.28 | MTTD: 200
Episode   1600 | Reward: -71.82 | MTTD: 200
Episode   1700 | Reward: -199.56 | MTTD: 200
Episode   1800 | Reward: -76.39 | MTTD: 200
Episode   1900 | Reward: -62.26 | MTTD: 200
Episode   2000 | Reward: -77.62 | MTTD: 200
Episode   2100 | Reward: -135.77 | MTTD: 200
Episode   2200 | Reward: -906.68 | MTTD: 200
Episode   2300 | Reward: -100.26 | MTTD: 200
Episode   2400 | Reward: -75.45 | MTTD: 200
Episode   2500 | Reward: -112.22 | MTTD: 200
Episode   2600 | Reward: -160.19 | MTTD: 200
Episode   2700 | Reward: -31.52 | MTTD: 200
Episode   2800 | Reward: -971.09 | MTTD: 200
Episode   2900 | Reward: -84.17 | MTTD: 200
Episode   3000 | Reward: -80.27 | MTTD: 200
Episode   3100 | Reward: -134.62 | MTTD: 200
Episode   3200 | Reward: -154.66 | MTTD: 200
Episode   3300 | Reward: -56.31 | MTTD: 200
Episode   3400 | Reward: -150.87 | MTTD: 200
Episode   3500 | Reward: -37.25 | MTTD: 200
Episode   3600 | Reward: -863.80 | MTTD: 200
Episode   3700 | Reward: -118.65 | MTTD: 200
Episode   3800 | Reward: -80.52 | MTTD: 200
Episode   3900 | Reward: -117.58 | MTTD: 200
Episode   4000 | Reward: -119.16 | MTTD: 200
Episode   4100 | Reward: -266.64 | MTTD: 200
Episode   4200 | Reward: -145.82 | MTTD: 200
Episode   4300 | Reward: -200.62 | MTTD: 200
Episode   4400 | Reward: -76.12 | MTTD: 200
Episode   4500 | Reward: -953.49 | MTTD: 200
Episode   4600 | Reward: -117.42 | MTTD: 200
Episode   4700 | Reward: -120.09 | MTTD: 200
Episode   4800 | Reward: -108.56 | MTTD: 200
Episode   4900 | Reward: -950.19 | MTTD: 200
Episode   5000 | Reward: -113.10 | MTTD: 200
Episode   5100 | Reward: -79.60 | MTTD: 200
Episode   5200 | Reward: -939.72 | MTTD: 200
Episode   5300 | Reward: -968.94 | MTTD: 200
Episode   5400 | Reward: -140.06 | MTTD: 200
Episode   5500 | Reward: -98.47 | MTTD: 200
Episode   5600 | Reward: -947.62 | MTTD: 200
Episode   5700 | Reward: -141.01 | MTTD: 200
Episode   5800 | Reward: -1011.57 | MTTD: 200
Episode   5900 | Reward: -59.41 | MTTD: 200
Episode   6000 | Reward: -65.24 | MTTD: 200
Episode   6100 | Reward: -71.74 | MTTD: 200
Episode   6200 | Reward: -59.86 | MTTD: 200
Episode   6300 | Reward: -243.55 | MTTD: 200
Episode   6400 | Reward: -110.65 | MTTD: 200
Episode   6500 | Reward: -903.93 | MTTD: 200
Episode   6600 | Reward: -963.97 | MTTD: 200
Episode   6700 | Reward: -65.11 | MTTD: 200
Episode   6800 | Reward: -130.67 | MTTD: 200
Episode   6900 | Reward: -977.02 | MTTD: 200
Episode   7000 | Reward: -136.38 | MTTD: 200
Episode   7100 | Reward: -88.76 | MTTD: 200
Episode   7200 | Reward: -28.14 | MTTD: 200
Episode   7300 | Reward: -115.41 | MTTD: 200
Episode   7400 | Reward: -77.67 | MTTD: 200
Episode   7500 | Reward: -229.59 | MTTD: 200
Episode   7600 | Reward: -952.09 | MTTD: 200
Episode   7700 | Reward: -33.24 | MTTD: 200
Episode   7800 | Reward: -922.02 | MTTD: 200
Episode   7900 | Reward: -891.16 | MTTD: 200
Episode   8000 | Reward: -984.10 | MTTD: 200
Episode   8100 | Reward: -299.84 | MTTD: 200
Episode   8200 | Reward: -118.08 | MTTD: 200
Episode   8300 | Reward: -85.01 | MTTD: 200
Episode   8400 | Reward: -908.94 | MTTD: 200
Episode   8500 | Reward: -77.52 | MTTD: 200
Episode   8600 | Reward: -111.25 | MTTD: 200
Episode   8700 | Reward: -941.14 | MTTD: 200
Episode   8800 | Reward: -5.03 | MTTD: 200
Episode   8900 | Reward: -892.67 | MTTD: 200
Episode   9000 | Reward: -836.90 | MTTD: 200
Episode   9100 | Reward: -84.75 | MTTD: 200
Episode   9200 | Reward: -886.65 | MTTD: 200
Episode   9300 | Reward: -71.39 | MTTD: 200
Episode   9400 | Reward: -104.68 | MTTD: 200
Episode   9500 | Reward: -136.32 | MTTD: 200
Episode   9600 | Reward: -111.47 | MTTD: 200
Episode   9700 | Reward: -202.26 | MTTD: 200
Episode   9800 | Reward: -36.88 | MTTD: 200
Episode   9900 | Reward: -89.56 | MTTD: 200
Episode  10000 | Reward: -40.58 | MTTD: 200
MAPPO done. Saved to checkpoints/train_mappo_seed42.csv
Done in 8.5 min
