Device: cpu, Seed: 42
Starting QMIX training: 10000 episodes
============================================================
Episode    500 | Avg Reward:   -71.43 | MTTD:  12 | MTTR:  17 | FPR: 0.012 | CSR: 1
Episode   1000 | Avg Reward:   -73.52 | MTTD:  16 | MTTR:  25 | FPR: 0.011 | CSR: 1
Episode   1500 | Avg Reward:   -62.96 | MTTD:   7 | MTTR:   7 | FPR: 0.009 | CSR: 1
Episode   2000 | Avg Reward:   -70.18 | MTTD:  17 | MTTR:  24 | FPR: 0.010 | CSR: 1
Episode   2500 | Avg Reward:   -60.38 | MTTD:   6 | MTTR: 200 | FPR: 0.010 | CSR: 0
Episode   3000 | Avg Reward:   -56.82 | MTTD:   5 | MTTR: 200 | FPR: 0.010 | CSR: 0
Episode   3500 | Avg Reward:   -51.06 | MTTD:   4 | MTTR:  16 | FPR: 0.009 | CSR: 1
Episode   4000 | Avg Reward:   -47.44 | MTTD:   4 | MTTR:  33 | FPR: 0.010 | CSR: 1
Episode   4500 | Avg Reward:   -46.96 | MTTD:   7 | MTTR:  11 | FPR: 0.011 | CSR: 1
Episode   5000 | Avg Reward:   -46.96 | MTTD:   9 | MTTR:  20 | FPR: 0.007 | CSR: 1
Episode   5500 | Avg Reward:   -44.82 | MTTD:   5 | MTTR:   5 | FPR: 0.009 | CSR: 1
Episode   6000 | Avg Reward:   -43.70 | MTTD:   9 | MTTR:  14 | FPR: 0.010 | CSR: 1
Episode   6500 | Avg Reward:   -42.41 | MTTD:  12 | MTTR:  13 | FPR: 0.008 | CSR: 1
Episode   7000 | Avg Reward:   -45.07 | MTTD:  10 | MTTR: 200 | FPR: 0.011 | CSR: 0
Episode   7500 | Avg Reward:   -51.83 | MTTD:   6 | MTTR:  36 | FPR: 0.013 | CSR: 1
Episode   8000 | Avg Reward:   -47.32 | MTTD:  12 | MTTR:  20 | FPR: 0.013 | CSR: 1
Episode   8500 | Avg Reward:   -42.82 | MTTD:   5 | MTTR:  36 | FPR: 0.011 | CSR: 1
Episode   9000 | Avg Reward:   -47.07 | MTTD:   5 | MTTR:  21 | FPR: 0.010 | CSR: 1
Episode   9500 | Avg Reward:   -48.10 | MTTD:   7 | MTTR:  35 | FPR: 0.010 | CSR: 1
Episode  10000 | Avg Reward:   -46.57 | MTTD:   8 | MTTR:  24 | FPR: 0.009 | CSR: 1

QMIX training complete. Best reward: 7.18
Logs saved to: checkpoints/train_qmix_seed42.csv
