Device: cpu, Seed: 456
Starting QMIX training: 10000 episodes
============================================================
Episode    500 | Avg Reward:   -69.00 | MTTD:   7 | MTTR:  12 | FPR: 0.009 | CSR: 1
Episode   1000 | Avg Reward:   -75.44 | MTTD:  20 | MTTR:  31 | FPR: 0.011 | CSR: 1
Episode   1500 | Avg Reward:   -79.95 | MTTD:   8 | MTTR:  10 | FPR: 0.010 | CSR: 1
Episode   2000 | Avg Reward:  -114.13 | MTTD:  21 | MTTR:  28 | FPR: 0.011 | CSR: 1
Episode   2500 | Avg Reward:  -154.79 | MTTD:   6 | MTTR: 200 | FPR: 0.010 | CSR: 0
Episode   3000 | Avg Reward:  -171.57 | MTTD:   8 | MTTR: 200 | FPR: 0.010 | CSR: 0
Episode   3500 | Avg Reward:  -185.88 | MTTD:  27 | MTTR:  38 | FPR: 0.011 | CSR: 1
Episode   4000 | Avg Reward:  -168.50 | MTTD:   9 | MTTR: 200 | FPR: 0.011 | CSR: 0
Episode   4500 | Avg Reward:  -146.18 | MTTD:   4 | MTTR:   4 | FPR: 0.019 | CSR: 1
Episode   5000 | Avg Reward:  -119.16 | MTTD:  10 | MTTR:  16 | FPR: 0.010 | CSR: 1
Episode   5500 | Avg Reward:  -119.61 | MTTD:  13 | MTTR:  36 | FPR: 0.012 | CSR: 1
Episode   6000 | Avg Reward:  -107.28 | MTTD:   4 | MTTR: 200 | FPR: 0.011 | CSR: 0
Episode   6500 | Avg Reward:  -101.76 | MTTD:   7 | MTTR:  26 | FPR: 0.010 | CSR: 1
Episode   7000 | Avg Reward:   -89.53 | MTTD:   6 | MTTR: 200 | FPR: 0.013 | CSR: 0
Episode   7500 | Avg Reward:   -87.64 | MTTD:   8 | MTTR:  19 | FPR: 0.012 | CSR: 1
Episode   8000 | Avg Reward:   -79.31 | MTTD:   4 | MTTR:  51 | FPR: 0.012 | CSR: 1
Episode   8500 | Avg Reward:   -86.35 | MTTD:   7 | MTTR:  33 | FPR: 0.011 | CSR: 1
Episode   9000 | Avg Reward:  -103.38 | MTTD:  43 | MTTR:  55 | FPR: 0.011 | CSR: 1
Episode   9500 | Avg Reward:   -94.16 | MTTD:   8 | MTTR:  32 | FPR: 0.010 | CSR: 1
Episode  10000 | Avg Reward:   -88.62 | MTTD:   5 | MTTR: 200 | FPR: 0.009 | CSR: 0

QMIX training complete. Best reward: 7.18
Logs saved to: checkpoints/train_qmix_seed456.csv
