Device: cpu, Seed: 789
Starting QMIX training: 10000 episodes
============================================================
Episode    500 | Avg Reward:  -563.14 | MTTD:  14 | MTTR: 200 | FPR: 0.020 | CSR: 0
Episode   1000 | Avg Reward:  -621.98 | MTTD:  13 | MTTR: 200 | FPR: 0.009 | CSR: 0
Episode   1500 | Avg Reward:  -640.90 | MTTD:  19 | MTTR: 200 | FPR: 0.026 | CSR: 0
Episode   2000 | Avg Reward:  -750.11 | MTTD:  24 | MTTR: 200 | FPR: 0.032 | CSR: 0
Episode   2500 | Avg Reward:  -809.30 | MTTD:   6 | MTTR: 200 | FPR: 0.028 | CSR: 0
Episode   3000 | Avg Reward:  -879.79 | MTTD:   7 | MTTR: 200 | FPR: 0.025 | CSR: 0
Episode   3500 | Avg Reward:  -866.09 | MTTD:  13 | MTTR: 200 | FPR: 0.036 | CSR: 0
Episode   4000 | Avg Reward:  -860.38 | MTTD:  14 | MTTR: 200 | FPR: 0.029 | CSR: 0
Episode   4500 | Avg Reward:  -798.73 | MTTD:  16 | MTTR: 200 | FPR: 0.027 | CSR: 0
Episode   5000 | Avg Reward:  -779.80 | MTTD:   6 | MTTR: 200 | FPR: 0.032 | CSR: 0
Episode   5500 | Avg Reward:  -780.63 | MTTD:   7 | MTTR: 200 | FPR: 0.031 | CSR: 0
Episode   6000 | Avg Reward:  -734.46 | MTTD:  11 | MTTR: 200 | FPR: 0.032 | CSR: 0
Episode   6500 | Avg Reward:  -798.15 | MTTD:   4 | MTTR: 200 | FPR: 0.029 | CSR: 0
Episode   7000 | Avg Reward:  -898.39 | MTTD:   4 | MTTR: 200 | FPR: 0.030 | CSR: 0
Episode   7500 | Avg Reward:  -870.57 | MTTD:  23 | MTTR: 200 | FPR: 0.025 | CSR: 0
Episode   8000 | Avg Reward:  -777.30 | MTTD:  13 | MTTR: 200 | FPR: 0.029 | CSR: 0
Episode   8500 | Avg Reward:  -812.07 | MTTD:   5 | MTTR: 200 | FPR: 0.024 | CSR: 0
Episode   9000 | Avg Reward:  -816.45 | MTTD:   7 | MTTR: 200 | FPR: 0.024 | CSR: 0
Episode   9500 | Avg Reward:  -815.82 | MTTD:   7 | MTTR: 200 | FPR: 0.018 | CSR: 0
Episode  10000 | Avg Reward:  -827.97 | MTTD:  15 | MTTR: 200 | FPR: 0.024 | CSR: 0

QMIX training complete. Best reward: 9.86
Logs saved to: checkpoints/train_qmix_seed789.csv
