Training: rule_soar, seed=42, episodes=10000
Episode    100 | Reward: -1926.68 | MTTD: 200
Episode    200 | Reward: -2063.37 | MTTD: 200
Episode    300 | Reward: -2035.93 | MTTD: 200
Episode    400 | Reward: -1930.76 | MTTD: 200
Episode    500 | Reward: -2003.48 | MTTD: 200
Episode    600 | Reward: -1942.98 | MTTD: 200
Episode    700 | Reward: -142.51 | MTTD: 200
Episode    800 | Reward: -39.82 | MTTD: 200
Episode    900 | Reward: -312.88 | MTTD: 200
Episode   1000 | Reward: -2059.98 | MTTD: 200
Episode   1100 | Reward: -164.16 | MTTD: 200
Episode   1200 | Reward: -182.25 | MTTD: 200
Episode   1300 | Reward: -1942.56 | MTTD: 200
Episode   1400 | Reward: -101.32 | MTTD: 200
Episode   1500 | Reward: -39.82 | MTTD: 200
Episode   1600 | Reward: -2040.53 | MTTD: 200
Episode   1700 | Reward: -1964.02 | MTTD: 200
Episode   1800 | Reward: -2019.11 | MTTD: 200
Episode   1900 | Reward: -268.95 | MTTD: 200
Episode   2000 | Reward: -2038.77 | MTTD: 200
Episode   2100 | Reward: -1982.74 | MTTD: 200
Episode   2200 | Reward: -1990.32 | MTTD: 200
Episode   2300 | Reward: -1996.86 | MTTD: 200
Episode   2400 | Reward: -2026.72 | MTTD: 200
Episode   2500 | Reward: -173.41 | MTTD: 200
Episode   2600 | Reward: -157.99 | MTTD: 200
Episode   2700 | Reward: -1981.73 | MTTD: 200
Episode   2800 | Reward: -87.25 | MTTD: 200
Episode   2900 | Reward: -2063.97 | MTTD: 200
Episode   3000 | Reward: -125.39 | MTTD: 200
Episode   3100 | Reward: -2016.46 | MTTD: 200
Episode   3200 | Reward: -2011.20 | MTTD: 200
Episode   3300 | Reward: -278.05 | MTTD: 200
Episode   3400 | Reward: -244.73 | MTTD: 200
Episode   3500 | Reward: -2045.85 | MTTD: 200
Episode   3600 | Reward: -1928.77 | MTTD: 200
Episode   3700 | Reward: -210.67 | MTTD: 200
Episode   3800 | Reward: -298.79 | MTTD: 200
Episode   3900 | Reward: -2013.32 | MTTD: 200
Episode   4000 | Reward: -2062.03 | MTTD: 200
Episode   4100 | Reward: -236.89 | MTTD: 200
Episode   4200 | Reward: -2008.74 | MTTD: 200
Episode   4300 | Reward: -1928.90 | MTTD: 200
Episode   4400 | Reward: -2022.71 | MTTD: 200
Episode   4500 | Reward: -135.18 | MTTD: 200
Episode   4600 | Reward: -42.14 | MTTD: 200
Episode   4700 | Reward: -1936.40 | MTTD: 200
Episode   4800 | Reward: -110.23 | MTTD: 200
Episode   4900 | Reward: -102.00 | MTTD: 200
Episode   5000 | Reward: -1958.33 | MTTD: 200
Episode   5100 | Reward: -2018.94 | MTTD: 200
Episode   5200 | Reward: -206.89 | MTTD: 200
Episode   5300 | Reward: -168.53 | MTTD: 200
Episode   5400 | Reward: -117.91 | MTTD: 200
Episode   5500 | Reward: -1995.67 | MTTD: 200
Episode   5600 | Reward: -1922.64 | MTTD: 200
Episode   5700 | Reward: -255.37 | MTTD: 200
Episode   5800 | Reward: -2032.57 | MTTD: 200
Episode   5900 | Reward: -1918.29 | MTTD: 200
Episode   6000 | Reward: -158.48 | MTTD: 200
Episode   6100 | Reward: -1990.13 | MTTD: 200
Episode   6200 | Reward: -1973.14 | MTTD: 200
Episode   6300 | Reward: -2045.60 | MTTD: 200
Episode   6400 | Reward: -1958.04 | MTTD: 200
Episode   6500 | Reward: -246.97 | MTTD: 200
Episode   6600 | Reward: -1979.60 | MTTD: 200
Episode   6700 | Reward: -1931.62 | MTTD: 200
Episode   6800 | Reward: -201.47 | MTTD: 200
Episode   6900 | Reward: -1989.51 | MTTD: 200
Episode   7000 | Reward: -201.07 | MTTD: 200
Episode   7100 | Reward: -216.30 | MTTD: 200
Episode   7200 | Reward: -2025.02 | MTTD: 200
Episode   7300 | Reward: -2041.85 | MTTD: 200
Episode   7400 | Reward: -1953.71 | MTTD: 200
Episode   7500 | Reward: -297.27 | MTTD: 200
Episode   7600 | Reward: -104.75 | MTTD: 200
Episode   7700 | Reward: -2013.42 | MTTD: 200
Episode   7800 | Reward: -165.50 | MTTD: 200
Episode   7900 | Reward: -136.91 | MTTD: 200
Episode   8000 | Reward: -1957.51 | MTTD: 200
Episode   8100 | Reward: -1981.46 | MTTD: 200
Episode   8200 | Reward: -2016.41 | MTTD: 200
Episode   8300 | Reward: -1971.72 | MTTD: 200
Episode   8400 | Reward: -104.15 | MTTD: 200
Episode   8500 | Reward: -211.07 | MTTD: 200
Episode   8600 | Reward: -145.16 | MTTD: 200
Episode   8700 | Reward: -2039.32 | MTTD: 200
Episode   8800 | Reward: -117.55 | MTTD: 200
Episode   8900 | Reward: -2076.28 | MTTD: 200
Episode   9000 | Reward: -231.22 | MTTD: 200
Episode   9100 | Reward: -1956.24 | MTTD: 200
Episode   9200 | Reward: -1941.72 | MTTD: 200
Episode   9300 | Reward: -2031.42 | MTTD: 200
Episode   9400 | Reward: -213.81 | MTTD: 200
Episode   9500 | Reward: -1926.61 | MTTD: 200
Episode   9600 | Reward: -1958.06 | MTTD: 200
Episode   9700 | Reward: -1967.21 | MTTD: 200
Episode   9800 | Reward: -1989.28 | MTTD: 200
Episode   9900 | Reward: -162.44 | MTTD: 200
Episode  10000 | Reward: -2062.46 | MTTD: 200
Rule-SOAR done. Saved to checkpoints/train_rule_soar_seed42.csv
Done in 3.8 min
