Training: single_drl, seed=456, episodes=10000
Episode    100 | Reward: -827.39 | MTTD: 200
Episode    200 | Reward: -971.78 | MTTD: 200
Episode    300 | Reward: -227.32 | MTTD: 200
Episode    400 | Reward: -302.97 | MTTD: 200
Episode    500 | Reward: -225.41 | MTTD: 200
Episode    600 | Reward: -291.54 | MTTD: 200
Episode    700 | Reward: -96.23 | MTTD: 200
Episode    800 | Reward: -285.44 | MTTD: 200
Episode    900 | Reward: -80.91 | MTTD: 200
Episode   1000 | Reward: -939.12 | MTTD: 200
Episode   1100 | Reward: -222.71 | MTTD: 200
Episode   1200 | Reward: -291.14 | MTTD: 200
Episode   1300 | Reward: -956.67 | MTTD: 200
Episode   1400 | Reward: -144.11 | MTTD: 200
Episode   1500 | Reward: -143.53 | MTTD: 200
Episode   1600 | Reward: -149.58 | MTTD: 200
Episode   1700 | Reward: -969.76 | MTTD: 200
Episode   1800 | Reward: -927.91 | MTTD: 200
Episode   1900 | Reward: -264.92 | MTTD: 200
Episode   2000 | Reward: -884.23 | MTTD: 200
Episode   2100 | Reward: -889.48 | MTTD: 200
Episode   2200 | Reward: -97.80 | MTTD: 200
Episode   2300 | Reward: -177.73 | MTTD: 200
Episode   2400 | Reward: -86.50 | MTTD: 200
Episode   2500 | Reward: -78.76 | MTTD: 200
Episode   2600 | Reward: -164.65 | MTTD: 200
Episode   2700 | Reward: -483.72 | MTTD: 200
Episode   2800 | Reward: -184.56 | MTTD: 200
Episode   2900 | Reward: -254.23 | MTTD: 200
Episode   3000 | Reward: -129.22 | MTTD: 200
Episode   3100 | Reward: -167.88 | MTTD: 200
Episode   3200 | Reward: -128.10 | MTTD: 200
Episode   3300 | Reward: -921.25 | MTTD: 200
Episode   3400 | Reward: -257.41 | MTTD: 200
Episode   3500 | Reward: -940.42 | MTTD: 200
Episode   3600 | Reward: -123.24 | MTTD: 200
Episode   3700 | Reward: -74.61 | MTTD: 200
Episode   3800 | Reward: -212.24 | MTTD: 200
Episode   3900 | Reward: -65.97 | MTTD: 200
Episode   4000 | Reward: -38.21 | MTTD: 200
Episode   4100 | Reward: -913.26 | MTTD: 200
Episode   4200 | Reward: -199.04 | MTTD: 200
Episode   4300 | Reward: -162.71 | MTTD: 200
Episode   4400 | Reward: -1010.63 | MTTD: 200
Episode   4500 | Reward: -140.01 | MTTD: 200
Episode   4600 | Reward: -141.42 | MTTD: 200
Episode   4700 | Reward: -1018.60 | MTTD: 200
Episode   4800 | Reward: -168.60 | MTTD: 200
Episode   4900 | Reward: -97.56 | MTTD: 200
Episode   5000 | Reward: -954.71 | MTTD: 200
Episode   5100 | Reward: -260.23 | MTTD: 200
Episode   5200 | Reward: -226.42 | MTTD: 200
Episode   5300 | Reward: -75.33 | MTTD: 200
Episode   5400 | Reward: -900.60 | MTTD: 200
Episode   5500 | Reward: -141.25 | MTTD: 200
Episode   5600 | Reward: -897.63 | MTTD: 200
Episode   5700 | Reward: -957.58 | MTTD: 200
Episode   5800 | Reward: -118.07 | MTTD: 200
Episode   5900 | Reward: -199.18 | MTTD: 200
Episode   6000 | Reward: -65.77 | MTTD: 200
Episode   6100 | Reward: -951.41 | MTTD: 200
Episode   6200 | Reward: -162.78 | MTTD: 200
Episode   6300 | Reward: -1027.53 | MTTD: 200
Episode   6400 | Reward: -68.94 | MTTD: 200
Episode   6500 | Reward: -121.29 | MTTD: 200
Episode   6600 | Reward: -975.30 | MTTD: 200
Episode   6700 | Reward: -911.97 | MTTD: 200
Episode   6800 | Reward: -122.68 | MTTD: 200
Episode   6900 | Reward: -163.87 | MTTD: 200
Episode   7000 | Reward: -896.59 | MTTD: 200
Episode   7100 | Reward: -150.17 | MTTD: 200
Episode   7200 | Reward: -928.85 | MTTD: 200
Episode   7300 | Reward: -300.11 | MTTD: 200
Episode   7400 | Reward: -100.51 | MTTD: 200
Episode   7500 | Reward: -982.12 | MTTD: 200
Episode   7600 | Reward: -77.89 | MTTD: 200
Episode   7700 | Reward: -106.12 | MTTD: 200
Episode   7800 | Reward: -893.46 | MTTD: 200
Episode   7900 | Reward: -101.24 | MTTD: 200
Episode   8000 | Reward: -944.00 | MTTD: 200
Episode   8100 | Reward: -95.93 | MTTD: 200
Episode   8200 | Reward: -872.25 | MTTD: 200
Episode   8300 | Reward: -163.72 | MTTD: 200
Episode   8400 | Reward: -46.10 | MTTD: 200
Episode   8500 | Reward: -97.38 | MTTD: 200
Episode   8600 | Reward: -84.25 | MTTD: 200
Episode   8700 | Reward: -293.60 | MTTD: 200
Episode   8800 | Reward: -98.32 | MTTD: 200
Episode   8900 | Reward: -590.53 | MTTD: 200
Episode   9000 | Reward: -102.36 | MTTD: 200
Episode   9100 | Reward: -226.78 | MTTD: 200
Episode   9200 | Reward: -922.52 | MTTD: 200
Episode   9300 | Reward: -189.10 | MTTD: 200
Episode   9400 | Reward: -846.18 | MTTD: 200
Episode   9500 | Reward: -216.07 | MTTD: 200
Episode   9600 | Reward: -136.99 | MTTD: 200
Episode   9700 | Reward: -223.66 | MTTD: 200
Episode   9800 | Reward: -72.12 | MTTD: 200
Episode   9900 | Reward: -182.60 | MTTD: 200
Episode  10000 | Reward: -86.04 | MTTD: 200
Single-DRL done. Saved to checkpoints/train_single_drl_seed456.csv
Done in 8.0 min
