Device: mps, Seed: 42
Starting QMIX training: 10000 episodes
============================================================
Episode    100 | Avg Reward:   -17.84 | MTTD:   9 | MTTR:  51 | FPR: 1.917 | CSR: 1
Episode    200 | Avg Reward:   -19.83 | MTTD:  11 | MTTR:  39 | FPR: 1.684 | CSR: 1
Episode    300 | Avg Reward:   -21.54 | MTTD:  19 | MTTR:  42 | FPR: 1.067 | CSR: 1
Episode    400 | Avg Reward:   -22.35 | MTTD:   5 | MTTR:  70 | FPR: 1.216 | CSR: 1
Episode    500 | Avg Reward:   -25.21 | MTTD:   8 | MTTR:  31 | FPR: 1.133 | CSR: 1
Episode    600 | Avg Reward:   -27.50 | MTTD:  12 | MTTR:  90 | FPR: 1.115 | CSR: 1
Episode    700 | Avg Reward:   -30.62 | MTTD:   7 | MTTR:  28 | FPR: 1.706 | CSR: 1
Episode    800 | Avg Reward:   -29.78 | MTTD:   6 | MTTR:  53 | FPR: 1.258 | CSR: 1
Episode    900 | Avg Reward:   -29.25 | MTTD:  13 | MTTR:  83 | FPR: 0.765 | CSR: 1
Episode   1000 | Avg Reward:   -32.38 | MTTD:   5 | MTTR:  86 | FPR: 0.932 | CSR: 1
Episode   1100 | Avg Reward:   -37.76 | MTTD:  10 | MTTR: 200 | FPR: 1.442 | CSR: 0
Episode   1200 | Avg Reward:   -39.10 | MTTD:  10 | MTTR:  27 | FPR: 1.231 | CSR: 1
Episode   1300 | Avg Reward:   -50.53 | MTTD:   9 | MTTR:  46 | FPR: 1.227 | CSR: 1
Episode   1400 | Avg Reward:   -46.57 | MTTD:   9 | MTTR:  42 | FPR: 0.938 | CSR: 1
Episode   1500 | Avg Reward:   -66.10 | MTTD:  20 | MTTR: 123 | FPR: 0.870 | CSR: 1
Episode   1600 | Avg Reward:   -62.55 | MTTD:   9 | MTTR:  70 | FPR: 0.878 | CSR: 1
Episode   1700 | Avg Reward:   -56.36 | MTTD:   8 | MTTR:  46 | FPR: 0.714 | CSR: 1
Episode   1800 | Avg Reward:   -78.17 | MTTD:  12 | MTTR:  36 | FPR: 1.778 | CSR: 1
Episode   1900 | Avg Reward:   -78.54 | MTTD:   8 | MTTR: 117 | FPR: 1.411 | CSR: 1
Episode   2000 | Avg Reward:   -80.81 | MTTD:   8 | MTTR: 118 | FPR: 1.456 | CSR: 1
Episode   2100 | Avg Reward:   -87.33 | MTTD:  12 | MTTR: 200 | FPR: 1.304 | CSR: 0
Episode   2200 | Avg Reward:   -88.23 | MTTD:  12 | MTTR: 200 | FPR: 1.402 | CSR: 0
Episode   2300 | Avg Reward:   -94.76 | MTTD:  13 | MTTR: 158 | FPR: 1.000 | CSR: 1
Episode   2400 | Avg Reward:   -96.90 | MTTD:   6 | MTTR: 189 | FPR: 1.168 | CSR: 1
Episode   2500 | Avg Reward:  -103.61 | MTTD:  10 | MTTR: 167 | FPR: 1.063 | CSR: 1
Episode   2600 | Avg Reward:   -98.98 | MTTD:   5 | MTTR: 154 | FPR: 1.275 | CSR: 1
Episode   2700 | Avg Reward:  -107.91 | MTTD:  22 | MTTR: 200 | FPR: 1.167 | CSR: 0
Episode   2800 | Avg Reward:   -97.13 | MTTD:  11 | MTTR: 158 | FPR: 1.066 | CSR: 1
Episode   2900 | Avg Reward:  -105.02 | MTTD:  10 | MTTR:  59 | FPR: 1.317 | CSR: 1
Episode   3000 | Avg Reward:  -100.69 | MTTD:   9 | MTTR: 200 | FPR: 0.385 | CSR: 0
Episode   3100 | Avg Reward:  -108.63 | MTTD:   8 | MTTR: 200 | FPR: 0.848 | CSR: 0
Episode   3200 | Avg Reward:   -92.44 | MTTD:   8 | MTTR: 200 | FPR: 1.213 | CSR: 0
Episode   3300 | Avg Reward:  -102.65 | MTTD:  11 | MTTR: 200 | FPR: 1.205 | CSR: 0
Episode   3400 | Avg Reward:   -91.27 | MTTD:   5 | MTTR: 167 | FPR: 1.235 | CSR: 1
Episode   3500 | Avg Reward:   -96.91 | MTTD:   8 | MTTR: 200 | FPR: 1.146 | CSR: 0
Episode   3600 | Avg Reward:   -90.50 | MTTD:  13 | MTTR: 200 | FPR: 0.757 | CSR: 0
Episode   3700 | Avg Reward:   -78.58 | MTTD:   9 | MTTR:  94 | FPR: 0.885 | CSR: 1
Episode   3800 | Avg Reward:   -86.81 | MTTD:   7 | MTTR:  72 | FPR: 0.952 | CSR: 1
Episode   3900 | Avg Reward:   -84.19 | MTTD:  10 | MTTR: 200 | FPR: 1.100 | CSR: 0
Episode   4000 | Avg Reward:   -88.42 | MTTD:   8 | MTTR: 200 | FPR: 0.967 | CSR: 0
Episode   4100 | Avg Reward:   -79.98 | MTTD:   6 | MTTR: 200 | FPR: 1.375 | CSR: 0
Episode   4200 | Avg Reward:   -88.87 | MTTD:  11 | MTTR: 187 | FPR: 1.434 | CSR: 1
